Term,Ont,N,DE,P.DE
odorant binding,MF,102,68,6.479855456159185e-70
olfactory receptor activity,MF,427,247,2.56163388164833e-257
G protein-coupled receptor activity,MF,866,259,3.598181594154347e-178
transmembrane signaling receptor activity,MF,1277,263,2.518303093462496e-136
signaling receptor activity,MF,1484,266,2.715302198606341e-122
molecular transducer activity,MF,1538,266,2.569644920933161e-118
odorant binding,MF,102,67,1.315620073926128e-72
olfactory receptor activity,MF,427,251,2.7372588907840053e-263
G protein-coupled receptor activity,MF,866,264,2.338419628748012e-183
transmembrane signaling receptor activity,MF,1277,267,2.131436248495101e-139
signaling receptor activity,MF,1484,270,4.537885343105303e-125
molecular transducer activity,MF,1538,270,5.079198832208405e-121
odorant binding,MF,102,67,2.3344053868490524e-72
protein-histidine N-methyltransferase activity,MF,1,1,6.345177664974777e-4
G protein-coupled receptor activity,MF,866,4,0.0016688769853307282
olfactory receptor activity,MF,427,3,0.0022005222588824423
alkane 1-monooxygenase activity,MF,4,1,0.002535841899820368
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen",MF,7,1,0.0044338264716652365
olfactory receptor activity,MF,427,64,1.0457057861811118e-51
G protein-coupled receptor activity,MF,866,64,1.1503608930851159e-32
transmembrane signaling receptor activity,MF,1277,65,6.15152017587021e-24
odorant binding,MF,102,23,4.682862820645035e-23
signaling receptor activity,MF,1484,66,4.0166281802093085e-21
molecular transducer activity,MF,1538,66,2.6965774803471457e-20
Ras GTPase binding,MF,429,8,2.255411062803745e-4
small GTPase binding,MF,443,8,2.800280896061775e-4
protein binding,MF,11807,60,2.8460297130334565e-4
D1 dopamine receptor binding,MF,9,2,5.062767563640473e-4
endodeoxyribonuclease activity,MF,41,3,5.098769373731955e-4
single-stranded DNA endodeoxyribonuclease activity,MF,10,2,6.312837711596621e-4
protein binding,MF,11807,1976,7.205983390962854e-73
olfactory receptor activity,MF,427,247,5.893686374231325e-261
G protein-coupled receptor activity,MF,866,258,1.406492840236235e-180
transmembrane signaling receptor activity,MF,1277,261,8.391576787091372e-138
signaling receptor activity,MF,1484,263,6.375302400030109e-123
molecular transducer activity,MF,1538,263,5.566217587313368e-119
odorant binding,MF,102,65,6.05636034004764e-70
RNA helicase activity,MF,78,1,0.00759990426019852
purine ribonucleoside triphosphate binding,MF,1813,2,0.007826688773427562
purine ribonucleotide binding,MF,1878,2,0.008398117132478584
purine nucleotide binding,MF,1891,2,0.008514818598977457
ribonucleotide binding,MF,1894,2,0.008541864063776062
nucleotide binding,MF,2125,2,0.01075314529321143
nucleoside phosphate binding,MF,2126,2,0.010763270665427259
carbohydrate derivative binding,MF,2219,2,0.011725757576537293
small molecule binding,MF,2503,2,0.014920048059733751
helicase activity,MF,163,1,0.015848842496990367
olfactory receptor activity,MF,427,231,1.2904216394336287e-253
G protein-coupled receptor activity,MF,866,242,2.1910379450569806e-181
transmembrane signaling receptor activity,MF,1277,244,2.131801985112078e-140
signaling receptor activity,MF,1484,245,1.5143823037096965e-125
molecular transducer activity,MF,1538,245,7.919307711500667e-122
odorant binding,MF,102,64,4.8618612345907263e-73
molecular_function,MF,17697,840,2.516483155005742e-18
binding,MF,15267,757,8.747741969407897e-17
"GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity",MF,1,1,7.321358844202264e-4
15-hydroxyprostaglandin dehydrogenase (NAD+) activity,MF,2,1,0.001463771456330698
"phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity",MF,2,1,0.001463771456330698
"alpha-1,2-mannosyltransferase activity",MF,3,1,0.002194907033220117
"phosphatidylinositol-3,4-bisphosphate phosphatase activity",MF,3,1,0.002194907033220117
glycolipid mannosyltransferase activity,MF,4,1,0.0029255429323902238
"phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity",MF,4,1,0.0029255429323902238
Ran guanyl-nucleotide exchange factor activity,MF,4,1,0.0029255429323902238
protein binding,MF,11807,14,0.0030807110530544453
"transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity",MF,5,1,0.0036556794709575735
olfactory receptor activity,MF,427,233,6.92663257656188e-258
G protein-coupled receptor activity,MF,866,239,4.800408900873369e-178
transmembrane signaling receptor activity,MF,1277,242,8.339822950215073e-139
signaling receptor activity,MF,1484,243,4.188230640256292e-124
molecular transducer activity,MF,1538,243,2.017172189199597e-120
odorant binding,MF,102,63,2.1524581068033974e-71
nucleic acid binding,MF,4349,850,4.931180812287562e-137
heterocyclic compound binding,MF,6241,1025,3.280100672105918e-119
organic cyclic compound binding,MF,6328,1028,3.053421639189397e-116
DNA binding,MF,2518,573,8.3363793784490545e-112
nucleic acid binding,MF,4349,88,2.442127511587446e-13
heterocyclic compound binding,MF,6241,109,7.343741777163896e-13
organic cyclic compound binding,MF,6328,109,1.9567229204505287e-12
RNA binding,MF,1950,53,2.6093418366712253e-12
thiol-dependent ubiquitin-specific protease activity,MF,106,2,0.0023170133740236833
thiol-dependent ubiquitinyl hydrolase activity,MF,114,2,0.002673384908344991
ubiquitinyl hydrolase activity,MF,114,2,0.002673384908344991
olfactory receptor activity,MF,427,3,0.0027576361127239087
cysteine-type endopeptidase activity,MF,116,2,0.0027662743805215904
ubiquitin-like protein-specific protease activity,MF,123,2,0.0031032640876086735
olfactory receptor activity,MF,427,170,1.3759454420038399e-190
G protein-coupled receptor activity,MF,866,175,6.675421714274022e-138
transmembrane signaling receptor activity,MF,1277,176,1.034196483571056e-108
signaling receptor activity,MF,1484,176,2.0189892373130575e-97
molecular transducer activity,MF,1538,176,8.877387119011679e-95
odorant binding,MF,102,51,7.20394560759954e-61
structural constituent of ribosome,MF,202,130,8.247517434079839e-72
RNA binding,MF,1950,463,2.806957052591558e-58
olfactory receptor activity,MF,427,223,2.5193206783787224e-240
G protein-coupled receptor activity,MF,866,233,1.3894640234393984e-170
transmembrane signaling receptor activity,MF,1277,236,1.240306014186019e-132
signaling receptor activity,MF,1484,237,2.089088649543245e-118
molecular transducer activity,MF,1538,237,7.709748400400724e-115
odorant binding,MF,102,61,5.890940570577496e-68
nucleic acid binding,MF,4349,1148,3.1917946744076402e-105
heterocyclic compound binding,MF,6241,1456,1.8893418955557118e-94
DNA binding,MF,2518,763,2.2460091955562378e-94
organic cyclic compound binding,MF,6328,1462,2.51818943076415e-91
olfactory receptor activity,MF,427,233,4.2117877049796936e-248
G protein-coupled receptor activity,MF,866,243,1.7443461652515682e-173
transmembrane signaling receptor activity,MF,1277,246,1.2020409339831848e-133
signaling receptor activity,MF,1484,248,8.9112258465055e-120
molecular transducer activity,MF,1538,248,4.691863576654538e-116
odorant binding,MF,102,65,1.0697661044991475e-72
olfactory receptor activity,MF,427,258,5.9307681911226255e-263
G protein-coupled receptor activity,MF,866,273,1.0072051238531896e-181
transmembrane signaling receptor activity,MF,1277,278,3.385953308383532e-138
signaling receptor activity,MF,1484,280,3.0285774322654063e-122
molecular transducer activity,MF,1538,280,4.367819496093482e-118
odorant binding,MF,102,67,1.7101147099686409e-69
protein binding,MF,11807,1677,4.5337195463460865e-63
binding,MF,15267,1993,4.99228984991502e-58
nucleic acid binding,MF,4349,771,4.9095513166514665e-50
nucleic acid binding,MF,4349,925,2.623681589803259e-82
nucleic acid binding,MF,4349,902,8.214508915054394e-78
RNA polymerase I core binding,MF,6,2,2.1377846800984323e-5
nucleic acid binding,MF,4349,15,2.8412650997087754e-5
box C/D snoRNP complex binding,MF,1,1,0.0012202264740335256
box H/ACA snoRNP complex binding,MF,1,1,0.0012202264740335256
ferredoxin-NADP+ reductase activity,MF,1,1,0.0012202264740335256
NADPH-adrenodoxin reductase activity,MF,1,1,0.0012202264740335256
olfactory receptor activity,MF,427,248,1.6935087105333833e-267
G protein-coupled receptor activity,MF,866,261,3.0176724579787885e-189
transmembrane signaling receptor activity,MF,1277,265,1.0118306150232236e-146
signaling receptor activity,MF,1484,267,1.8627581238896753e-131
molecular transducer activity,MF,1538,267,2.103325959977473e-127
odorant binding,MF,102,67,1.5041013822843061e-74
nucleic acid binding,MF,4349,503,1.1141934635514425e-46
DNA binding,MF,2518,334,1.6908277927101929e-40
heterocyclic compound binding,MF,6241,627,6.31895626311646e-40
organic cyclic compound binding,MF,6328,631,3.5673947078567554e-39
binding,MF,15267,1173,2.49195761755741e-37
DNA-binding transcription factor activity,MF,1699,251,2.7074891634450015e-37
transcription regulator activity,MF,2053,283,9.945333819270388e-37
olfactory receptor activity,MF,427,249,2.1039064707720788e-259
G protein-coupled receptor activity,MF,866,265,2.97684462005823e-184
transmembrane signaling receptor activity,MF,1277,269,4.06792932049935e-141
signaling receptor activity,MF,1484,272,1.2237789193083539e-126
molecular transducer activity,MF,1538,272,1.494305200014487e-122
odorant binding,MF,102,67,2.8229428621963553e-72
nucleic acid binding,MF,4349,390,2.0283939877753026e-47
heterocyclic compound binding,MF,6241,482,7.683030974205603e-43
organic cyclic compound binding,MF,6328,485,3.01000743684594e-42
GTPase binding,MF,541,57,7.560731593333139e-12
protein binding,MF,11807,539,9.291318407251481e-10
small GTPase binding,MF,443,46,1.3443839945016228e-9
Ras GTPase binding,MF,429,45,1.4789685730270552e-9
enzyme binding,MF,2217,141,1.5811098429203713e-9
guanyl-nucleotide exchange factor activity,MF,214,28,1.838712828540617e-8
metal ion binding,MF,4189,83,3.5664409222354364e-19
cation binding,MF,4279,83,1.4082714540612629e-18
"DNA-binding transcription factor activity, RNA polymerase II-specific",MF,1600,46,1.856541151711154e-15
DNA-binding transcription factor activity,MF,1699,47,3.600426060462093e-15
ion binding,MF,6218,93,9.336857982038117e-14
transcription regulator activity,MF,2053,47,3.759766345964644e-12
DNA binding,MF,2518,48,1.2267339381115799e-9
olfactory receptor activity,MF,427,216,1.6450217175457543e-219
G protein-coupled receptor activity,MF,866,221,7.166197169338758e-147
transmembrane signaling receptor activity,MF,1277,224,9.227049979826135e-112
signaling receptor activity,MF,1484,225,1.1749496814928074e-98
molecular transducer activity,MF,1538,225,2.2117933047454076e-95
odorant binding,MF,102,59,1.672372376092654e-62
olfactory receptor activity,MF,427,125,4.1610434638202115e-132
G protein-coupled receptor activity,MF,866,125,9.334636515071161e-91
transmembrane signaling receptor activity,MF,1277,127,4.269757508466211e-72
signaling receptor activity,MF,1484,129,3.0335361553629443e-66
molecular transducer activity,MF,1538,129,2.2728770835245135e-64
odorant binding,MF,102,38,2.4974097018973645e-43
olfactory receptor activity,MF,427,175,1.7824350099827968e-190
G protein-coupled receptor activity,MF,866,179,2.2020114692535693e-134
transmembrane signaling receptor activity,MF,1277,182,7.357409897404454e-107
signaling receptor activity,MF,1484,183,2.627874531356264e-96
molecular transducer activity,MF,1538,183,1.4042583114029044e-93
odorant binding,MF,102,49,2.8248219999302725e-55
olfactory receptor activity,MF,427,51,6.255318551990297e-54
G protein-coupled receptor activity,MF,866,52,1.7709251928276007e-39
transmembrane signaling receptor activity,MF,1277,52,4.243195198984812e-31
signaling receptor activity,MF,1484,52,5.907724401745298e-28
molecular transducer activity,MF,1538,52,3.2376727071798014e-27
odorant binding,MF,102,21,4.641730531702111e-27
olfactory receptor activity,MF,427,138,4.54870704908263e-151
G protein-coupled receptor activity,MF,866,140,3.250858594794419e-107
transmembrane signaling receptor activity,MF,1277,142,9.277021115244424e-86
signaling receptor activity,MF,1484,142,8.172871267345463e-77
molecular transducer activity,MF,1538,142,1.0195150203079754e-74
odorant binding,MF,102,48,7.153596625002748e-60
olfactory receptor activity,MF,427,111,1.0483270567716937e-123
G protein-coupled receptor activity,MF,866,113,6.119343322833906e-90
transmembrane signaling receptor activity,MF,1277,115,2.7553317568087828e-73
signaling receptor activity,MF,1484,116,3.785538854837621e-67
molecular transducer activity,MF,1538,116,1.9783544091321104e-65
odorant binding,MF,102,40,5.477821346147673e-51
binding,MF,15267,757,2.465807010209239e-22
protein binding,MF,11807,625,4.152378846014786e-20
ion binding,MF,6218,371,9.118534851626426e-16
molecular_function,MF,17697,814,2.735135239375003e-14
olfactory receptor activity,MF,427,195,1.160479903051096e-210
G protein-coupled receptor activity,MF,866,200,2.8109318759829346e-147
transmembrane signaling receptor activity,MF,1277,202,1.0524380138286208e-114
signaling receptor activity,MF,1484,203,7.827515429343017e-103
molecular transducer activity,MF,1538,203,8.289351268633154e-100
odorant binding,MF,102,59,3.7655184369622155e-69
molecular_function,MF,17697,427,3.9595727348025e-6
methyltransferase activity,MF,215,17,7.581291936607796e-6
S-adenosylmethionine-dependent methyltransferase activity,MF,155,14,1.0741949434239731e-5
"transferase activity, transferring one-carbon groups",MF,226,17,1.460502275303678e-5
transferase activity,MF,2272,81,1.5254867266564426e-5
catalytic activity,MF,5710,169,1.5583436389508893e-5
methyltransferase activity,MF,215,18,7.954437754416994e-7
3-oxoacyl-[acyl-carrier-protein] synthase activity,MF,2,1,0.003803575822132088
ion binding,MF,6218,20,0.004979276695601986
nucleic acid binding,MF,4349,1263,1.413108806948667e-166
DNA binding,MF,2518,864,3.2776902925399947e-152
heterocyclic compound binding,MF,6241,1510,8.504493605017271e-125
binding,MF,15267,1257,2.136606274500383e-24
DNA-binding transcription factor activity,MF,1699,232,1.4653677595703307e-22
metal ion binding,MF,4189,454,2.0325345601730528e-22
molecular_function,MF,17697,1388,5.455663119669084e-22
"DNA-binding transcription factor activity, RNA polymerase II-specific",MF,1600,219,2.1190964186091323e-21
cation binding,MF,4279,457,2.9090918045553966e-21
DNA binding,MF,2518,300,7.179186575526532e-20
ion binding,MF,6218,600,2.4323594536728557e-18
transcription regulator activity,MF,2053,251,6.576353055710551e-18
heterocyclic compound binding,MF,6241,580,5.4387834618148674e-14
organic cyclic compound binding,MF,6328,584,1.6976136311374078e-13
olfactory receptor activity,MF,427,248,1.584256960636987e-266
G protein-coupled receptor activity,MF,866,260,5.829365796811952e-187
transmembrane signaling receptor activity,MF,1277,265,9.337057270249056e-146
signaling receptor activity,MF,1484,266,1.6470698205546375e-129
molecular transducer activity,MF,1538,266,1.750217837010131e-125
odorant binding,MF,102,63,2.5157218992164566e-67
nucleic acid binding,MF,4349,599,2.108088729635567e-54
odorant binding,MF,102,22,1.6187659335190214e-20
olfactory receptor activity,MF,427,30,1.8556735179955457e-13
G protein-coupled receptor activity,MF,866,33,9.219751831041182e-8
type I interferon receptor binding,MF,17,5,2.4025084371684476e-6
DNA binding,MF,2518,228,1.6426311304023958e-34
nucleic acid binding,MF,4349,324,4.51374176903191e-34
heterocyclic compound binding,MF,6241,413,5.050646943916584e-34
organic cyclic compound binding,MF,6328,415,2.6696232792826146e-33
DNA-binding transcription factor activity,MF,1699,175,1.472773428320353e-32
transcription regulator activity,MF,2053,194,2.876388010675977e-31
"DNA-binding transcription factor activity, RNA polymerase II-specific",MF,1600,164,3.8961681992595764e-30
olfactory receptor activity,MF,427,25,5.430427341676075e-25
G protein-coupled receptor activity,MF,866,26,1.0577830228540152e-18
transmembrane signaling receptor activity,MF,1277,26,1.238820659190265e-14
signaling receptor activity,MF,1484,26,4.1286607657632245e-13
molecular transducer activity,MF,1538,26,9.400128134874725e-13
odorant binding,MF,102,9,5.066036795002118e-11
retinol transmembrane transporter activity,MF,2,1,5.856372343205907e-4
alcohol transmembrane transporter activity,MF,3,1,8.783486556127595e-4
binding,MF,15267,3648,5.743662360407681e-101
protein binding,MF,11807,3024,1.704457193821986e-100
protein binding,MF,11807,2646,2.1021201923998923e-71
binding,MF,15267,3206,9.173324277658898e-70
nucleic acid binding,MF,4349,1166,9.70991114187669e-56
olfactory receptor activity,MF,427,86,2.3661114753970362e-88
G protein-coupled receptor activity,MF,866,86,4.399297319346663e-61
transmembrane signaling receptor activity,MF,1277,87,3.6255912412557683e-48
signaling receptor activity,MF,1484,87,6.607469505366428e-43
odorant binding,MF,102,34,2.901712648893961e-42
molecular transducer activity,MF,1538,87,1.1290021553711342e-41
nucleotide binding,MF,2125,72,6.337811899689173e-7
nucleoside phosphate binding,MF,2126,72,6.450629303944952e-7
ribonucleotide binding,MF,1894,66,7.7457533747187e-7
purine ribonucleotide binding,MF,1878,65,1.2062150771447538e-6
purine nucleotide binding,MF,1891,65,1.527578979167231e-6
protein binding,MF,11807,266,3.7617459527142023e-6
molecular_function,MF,17697,362,4.561094847323557e-6
purine ribonucleoside triphosphate binding,MF,1813,61,6.66364018101103e-6
small molecule binding,MF,2503,76,1.7199380183531693e-5
carbohydrate derivative binding,MF,2219,69,2.1413489257673908e-5
binding,MF,15267,322,2.434715788965396e-5
anion binding,MF,2773,81,3.44364534986157e-5
protein binding,MF,11807,288,2.8374750239674684e-6
purine ribonucleotide binding,MF,1878,67,5.6202391722961644e-6
purine nucleotide binding,MF,1891,67,7.063985337860045e-6
ribonucleotide binding,MF,1894,67,7.443105255149123e-6
molecular_function,MF,17697,392,7.569345274933042e-6
binding,MF,15267,350,1.2754073748893265e-5
nucleotide binding,MF,2125,72,1.418483181023003e-5
nucleoside phosphate binding,MF,2126,72,1.4411696090361972e-5
purine ribonucleoside triphosphate binding,MF,1813,63,2.509578734085413e-5
molecular_function,MF,17697,425,6.92220683038186e-9
protein binding,MF,11807,315,2.1129110412745823e-8
binding,MF,15267,379,2.2215959527346425e-7
structural constituent of synapse,MF,17,6,1.0803757144794114e-6
molecular_function,MF,17697,418,1.3412111745731038e-8
protein binding,MF,11807,306,2.558246490317115e-7
molecular function regulator,MF,1810,69,2.271156020467047e-6
GTPase binding,MF,541,30,2.599684753984707e-6
binding,MF,15267,369,3.2940074221681553e-6
guanyl-nucleotide exchange factor activity,MF,214,17,4.333677090361546e-6
molecular_function,MF,17697,430,2.7338296120537025e-8
protein binding,MF,11807,316,1.4116825547000766e-7
guanyl-nucleotide exchange factor activity,MF,214,19,3.487849308581956e-7
GTPase binding,MF,541,31,1.711944231211771e-6
binding,MF,15267,381,1.932752290224811e-6
catalytic activity,MF,5710,157,2.8957259969036553e-5
molecular_function,MF,17697,392,1.7741012655898776e-4
protein binding,MF,11807,281,2.300597543085079e-4
structural constituent of synapse,MF,17,4,3.538053531968163e-4
structural constituent of ribosome,MF,202,88,4.251374766776193e-44
structural constituent of ribosome,MF,202,81,4.721192851609866e-47
CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity,MF,1,1,0.001366653650917704
glutamine-phenylpyruvate transaminase activity,MF,1,1,0.001366653650917704
protein serine/threonine/tyrosine kinase activity,MF,43,2,0.001571015328437592
drug binding,MF,1727,8,0.0016820727988318995
O-acyltransferase activity,MF,47,2,0.0018743568619242355
transferase activity,MF,2272,9,0.0024135215396865906
anion binding,MF,2773,10,0.002600640632478928
cysteine-S-conjugate beta-lyase activity,MF,2,1,0.0027315061768010684
U12 snRNA binding,MF,2,1,0.0027315061768010684
nucleic acid binding,MF,4349,1708,3.032891544397311e-171
heterocyclic compound binding,MF,6241,2146,1.4253066758251278e-143
organic cyclic compound binding,MF,6328,2158,1.0497262225310933e-139
DNA binding,MF,2518,1102,5.3532831580645915e-139
binding,MF,15267,4103,1.8256780558257194e-138
DNA binding,MF,2518,54,5.048486818122443e-6
DNA-binding transcription factor activity,MF,1699,39,3.110239892532942e-5
"DNA-binding transcription activator activity, RNA polymerase II-specific",MF,439,16,5.924926011250165e-5
"DNA-binding transcription factor activity, RNA polymerase II-specific",MF,1600,36,9.811715452026882e-5
sequence-specific DNA binding,MF,1139,28,1.4983880194143712e-4
protein kinase binding,MF,651,19,2.296516366318319e-4
transcription coactivator activity,MF,319,8,7.48261036684589e-5
chromatin binding,MF,546,10,1.2815908936347395e-4
transcription coregulator activity,MF,562,10,1.620594915645825e-4
histone acetyltransferase activity,MF,64,4,1.7324510890227832e-4
peptide-lysine-N-acetyltransferase activity,MF,66,4,1.9522092332078392e-4
nucleic acid binding,MF,4349,873,5.407192090011287e-97
heterocyclic compound binding,MF,6241,1101,1.5422649753449297e-91
organic cyclic compound binding,MF,6328,1105,6.599215640496971e-89
3-phosphoinositide-dependent protein kinase binding,MF,1,1,4.880905896132992e-4
ceramide cholinephosphotransferase activity,MF,3,1,0.0014636285936328042
ceramide phosphoethanolamine synthase activity,MF,3,1,0.0014636285936328042
sphingomyelin synthase activity,MF,3,1,0.0014636285936328042
NMDA glutamate receptor activity,MF,7,1,0.003412134244367482
olfactory receptor activity,MF,427,157,2.047810410156957e-175
G protein-coupled receptor activity,MF,866,160,2.3831325954152385e-125
transmembrane signaling receptor activity,MF,1277,161,5.2524168476506645e-99
signaling receptor activity,MF,1484,161,9.481678097779693e-89
molecular transducer activity,MF,1538,161,2.3950126949083564e-86
odorant binding,MF,102,44,1.3355717291822722e-50
olfactory receptor activity,MF,427,247,6.3802968019612645e-249
G protein-coupled receptor activity,MF,866,259,1.0124578824688503e-169
transmembrane signaling receptor activity,MF,1277,264,3.862409844853965e-129
signaling receptor activity,MF,1484,266,3.2028030551997997e-114
molecular transducer activity,MF,1538,266,2.6290431400442274e-110
odorant binding,MF,102,68,2.258139373739884e-72
olfactory receptor activity,MF,427,248,5.379979000890611e-254
G protein-coupled receptor activity,MF,866,262,9.19516174933365e-177
transmembrane signaling receptor activity,MF,1277,268,1.932857872541168e-136
signaling receptor activity,MF,1484,270,3.837923442288969e-121
molecular transducer activity,MF,1538,270,4.018360505135553e-117
odorant binding,MF,102,65,5.566967262527088e-68
nucleic acid binding,MF,4349,853,1.3180822338526326e-139
heterocyclic compound binding,MF,6241,1007,2.2751066030374543e-111
organic cyclic compound binding,MF,6328,1010,1.6184976891823454e-108
protein binding,MF,11807,516,2.8043470389307703e-16
