Term,Ont,N,DE,P.DE
detection of chemical stimulus,BP,512,167,4.516448803637592e-174
detection of stimulus involved in sensory perception,BP,531,168,1.2499498667464674e-172
sensory perception of chemical stimulus,BP,526,167,8.950669242302395e-172
detection of stimulus,BP,691,168,7.949722966909852e-151
sensory perception,BP,977,168,8.170648601455073e-124
G protein-coupled receptor signaling pathway,BP,1371,169,5.35409079273947e-100
nervous system process,BP,1437,170,1.0036321372703495e-97
system process,BP,2216,172,1.8153977980146534e-69
multicellular organismal process,BP,7751,268,5.422327149998564e-43
keratinization,BP,224,48,1.028356199576707e-37
detection of chemical stimulus involved in sensory perception of smell,BP,427,217,3.0688269153595877e-212
sensory perception of smell,BP,454,218,3.7551569076788927e-206
detection of chemical stimulus involved in sensory perception,BP,477,221,9.599794523961244e-205
detection of chemical stimulus,BP,512,221,4.208576530074861e-196
sensory perception of chemical stimulus,BP,526,222,2.3202346299921124e-194
detection of stimulus involved in sensory perception,BP,531,222,3.136263855267918e-193
detection of stimulus,BP,691,225,3.9691631467413375e-167
sensory perception,BP,977,229,6.923797893196013e-135
nervous system process,BP,1437,237,3.377346985145834e-104
G protein-coupled receptor signaling pathway,BP,1371,229,2.13617832756504e-101
system process,BP,2216,246,9.362470123659451e-71
keratinization,BP,224,65,1.0321742731770324e-42
keratinocyte differentiation,BP,305,69,1.349311210673424e-37
multicellular organismal process,BP,7751,419,2.7816450704245253e-36
pattern specification process,BP,446,12,9.507417822927653e-6
embryonic digit morphogenesis,BP,61,5,2.5686311231434685e-5
anterior/posterior pattern specification,BP,219,8,3.7675757061763445e-5
regionalization,BP,351,9,1.8684902613947372e-4
apoptotic process involved in morphogenesis,BP,25,3,3.8086809102459864e-4
animal organ formation,BP,61,4,4.101005142614739e-4
macromolecule biosynthetic process,BP,5114,46,4.187435983769901e-4
cellular nitrogen compound biosynthetic process,BP,5029,45,5.704103655799202e-4
appendage development,BP,179,6,5.73965707236997e-4
limb development,BP,179,6,5.73965707236997e-4
cellular biosynthetic process,BP,6168,52,7.089680001735326e-4
embryonic appendage morphogenesis,BP,125,5,7.578326990107854e-4
embryonic limb morphogenesis,BP,125,5,7.578326990107854e-4
heterocycle biosynthetic process,BP,4341,40,7.639017991122977e-4
aromatic compound biosynthetic process,BP,4351,40,8.008918315542273e-4
rhombomere 2 development,BP,2,2,3.8728953115419236e-5
circadian regulation of translation,BP,4,2,2.304724469038603e-4
hindbrain development,BP,152,6,3.893947532239485e-4
central nervous system development,BP,1002,16,5.171323551392695e-4
sulfur compound metabolic process,BP,372,9,5.567769474420408e-4
forebrain development,BP,381,9,6.603572424116047e-4
N-terminal protein amino acid modification,BP,29,3,7.728551280643958e-4
noradrenergic neuron differentiation,BP,7,2,7.967856152811846e-4
rhombomere development,BP,7,2,7.967856152811846e-4
ncRNA metabolic process,BP,562,11,8.091049601126444e-4
central nervous system neuron differentiation,BP,183,6,0.0010312819838676451
somatic stem cell population maintenance,BP,72,4,0.001076941455584085
cardiac septum morphogenesis,BP,76,4,0.0013175002093635633
regulation of transcription by RNA polymerase II,BP,2683,66,2.0606915903379264e-13
transcription by RNA polymerase II,BP,2818,66,2.0296971206279507e-12
"regulation of transcription, DNA-templated",BP,3506,73,2.532432881859141e-11
regulation of nucleic acid-templated transcription,BP,3567,73,5.797079281094725e-11
regulation of RNA biosynthetic process,BP,3576,73,6.537520060967574e-11
"transcription, DNA-templated",BP,3668,73,2.1711302790752822e-10
regulation of cellular macromolecule biosynthetic process,BP,3998,77,2.5048740963703575e-10
nucleic acid-templated transcription,BP,3716,73,3.9804936278285357e-10
RNA biosynthetic process,BP,3733,73,4.917858281544278e-10
regulation of nucleobase-containing compound metabolic process,BP,4140,78,5.197361402542701e-10
regulation of RNA metabolic process,BP,3822,74,5.51920615272599e-10
organic cyclic compound biosynthetic process,BP,4500,82,7.303624931813484e-10
detection of chemical stimulus involved in sensory perception of smell,BP,427,241,1.6522806165805245e-256
sensory perception of smell,BP,454,243,6.351858036528923e-251
detection of chemical stimulus involved in sensory perception,BP,477,245,3.830290537891781e-247
detection of chemical stimulus,BP,512,246,1.0522953732722181e-238
sensory perception of chemical stimulus,BP,526,247,1.518198258186365e-236
detection of stimulus involved in sensory perception,BP,531,246,1.2796754823561775e-233
detection of stimulus,BP,691,247,2.2190016070307157e-200
sensory perception,BP,977,254,3.2153050631392495e-167
G protein-coupled receptor signaling pathway,BP,1371,257,9.751837793828405e-132
nervous system process,BP,1437,258,1.4661263739139628e-127
system process,BP,2216,269,4.060817388023978e-91
keratinization,BP,224,73,7.932148429727822e-53
multicellular organismal process,BP,7751,440,8.215829100666242e-51
keratinocyte differentiation,BP,305,77,1.5323708817037911e-46
detection of chemical stimulus involved in sensory perception of smell,BP,427,236,8.10002132592605e-238
sensory perception of smell,BP,454,238,2.111569521398423e-232
detection of chemical stimulus involved in sensory perception,BP,477,242,5.940380265246164e-232
detection of chemical stimulus,BP,512,244,3.0652768707664553e-225
sensory perception of chemical stimulus,BP,526,244,1.5731142019233507e-221
detection of stimulus involved in sensory perception,BP,531,244,3.072028842124288e-220
detection of stimulus,BP,691,247,3.1286316818324133e-190
sensory perception,BP,977,254,4.8832677420538783e-157
nervous system process,BP,1437,259,1.0944884429122465e-118
G protein-coupled receptor signaling pathway,BP,1371,253,4.773970069083363e-118
system process,BP,2216,268,5.800128153464557e-81
keratinization,BP,224,72,3.805033086804971e-49
multicellular organismal process,BP,7751,458,1.3170815857771413e-45
keratinocyte differentiation,BP,305,76,5.965187796965835e-43
detection of chemical stimulus involved in sensory perception of smell,BP,427,231,2.075334995878329e-225
sensory perception of smell,BP,454,232,1.3297425579120968e-218
detection of chemical stimulus involved in sensory perception,BP,477,234,4.276847891929736e-215
detection of chemical stimulus,BP,512,235,2.9412036582084718e-207
detection of stimulus involved in sensory perception,BP,531,236,5.138648488730918e-204
sensory perception of chemical stimulus,BP,526,235,9.392608097469648e-204
detection of stimulus,BP,691,239,1.724439017472278e-175
sensory perception,BP,977,242,1.7639157752182585e-139
G protein-coupled receptor signaling pathway,BP,1371,248,1.7846774810148198e-109
nervous system process,BP,1437,245,5.287230843501902e-102
system process,BP,2216,257,1.591888225261891e-69
keratinization,BP,224,70,7.561079195011361e-46
keratinocyte differentiation,BP,305,75,6.592539068367274e-41
multicellular organismal process,BP,7751,455,1.0610870825688655e-38
detection of chemical stimulus involved in sensory perception of smell,BP,427,260,3.521998265437619e-262
sensory perception of smell,BP,454,261,9.954837455659356e-254
detection of chemical stimulus involved in sensory perception,BP,477,265,2.540220051392449e-252
detection of chemical stimulus,BP,512,267,3.071809259284167e-244
detection of stimulus involved in sensory perception,BP,531,267,1.471572825913716e-238
sensory perception of chemical stimulus,BP,526,266,1.803585079500931e-238
detection of stimulus,BP,691,271,1.3540699299474061e-205
sensory perception,BP,977,279,1.166373570682724e-168
G protein-coupled receptor signaling pathway,BP,1371,283,2.5436706522505047e-130
nervous system process,BP,1437,284,1.2887676671118515e-125
system process,BP,2216,300,1.4539137675063012e-88
keratinization,BP,224,79,5.113114318772294e-53
multicellular organismal process,BP,7751,516,6.3722964983223455e-49
keratinocyte differentiation,BP,305,85,1.2225512396551344e-47
detection of chemical stimulus involved in sensory perception of smell,BP,427,259,1.2174450716781326e-269
sensory perception of smell,BP,454,260,2.905961633708082e-261
detection of chemical stimulus involved in sensory perception,BP,477,263,2.2939828855235898e-258
detection of chemical stimulus,BP,512,265,1.892777483393959e-250
sensory perception of chemical stimulus,BP,526,264,1.1279781163298624e-244
detection of stimulus involved in sensory perception,BP,531,264,3.1473681462076147e-243
detection of stimulus,BP,691,267,1.8894075130621857e-209
sensory perception,BP,977,272,7.734224046497374e-170
G protein-coupled receptor signaling pathway,BP,1371,279,1.7682530623077515e-135
nervous system process,BP,1437,276,5.295841844205805e-127
system process,BP,2216,288,2.6087946918663456e-88
keratinization,BP,224,78,3.753229472220548e-54
multicellular organismal process,BP,7751,493,4.5789130653598313e-51
keratinocyte differentiation,BP,305,84,4.979167581866752e-49
detection of chemical stimulus involved in sensory perception of smell,BP,427,248,6.901249343089179e-261
sensory perception of smell,BP,454,249,3.584304013198918e-253
detection of chemical stimulus involved in sensory perception,BP,477,253,1.8170000849862743e-252
detection of chemical stimulus,BP,512,255,3.5248181606072333e-245
detection of stimulus involved in sensory perception,BP,531,255,7.788196722025021e-240
sensory perception of chemical stimulus,BP,526,254,1.3089640841743927e-239
detection of stimulus,BP,691,257,2.393485518650206e-206
sensory perception,BP,977,260,2.2766155014696267e-166
G protein-coupled receptor signaling pathway,BP,1371,260,4.999959931565782e-127
nervous system process,BP,1437,264,1.0385802736636098e-125
system process,BP,2216,276,4.35642493226556e-89
keratinization,BP,224,71,1.535554274373006e-48
multicellular organismal process,BP,7751,455,2.618157258630837e-47
keratinocyte differentiation,BP,305,76,1.6101446255302913e-43
detection of chemical stimulus involved in sensory perception of smell,BP,427,242,2.091945053602984e-261
detection of chemical stimulus involved in sensory perception,BP,477,247,1.012476236253235e-253
sensory perception of smell,BP,454,242,2.6209282786154496e-252
detection of chemical stimulus,BP,512,248,3.5836890884402568e-245
detection of stimulus involved in sensory perception,BP,531,249,1.1893583364192356e-241
sensory perception of chemical stimulus,BP,526,247,1.0283171043586618e-239
detection of stimulus,BP,691,250,8.615963919802647e-208
sensory perception,BP,977,253,4.032702554153411e-169
G protein-coupled receptor signaling pathway,BP,1371,255,1.0650630721155418e-132
nervous system process,BP,1437,256,1.4608078046244472e-128
system process,BP,2216,265,7.968354861069256e-91
multicellular organismal process,BP,7751,433,1.755482537689114e-51
keratinization,BP,224,68,1.2893133045603057e-47
keratinocyte differentiation,BP,305,73,3.928215069925176e-43
regulation of phosphorylation,BP,1614,17,6.046859624965713e-7
regulation of phosphate metabolic process,BP,1816,17,3.0993103407936092e-6
regulation of phosphorus metabolic process,BP,1818,17,3.1462089696092436e-6
regulation of cellular component organization,BP,2507,20,3.6977813765860775e-6
regulation of protein phosphorylation,BP,1465,15,4.724876091469821e-6
regulation of cell communication,BP,3542,23,1.683096244768335e-5
regulation of protein modification process,BP,1867,16,2.020712135978546e-5
regulation of signaling,BP,3591,23,2.118992558196542e-5
ameboidal-type cell migration,BP,461,8,2.97799453613261e-5
negative regulation of multicellular organismal process,BP,1316,13,3.425069714133284e-5
phosphorylation,BP,2417,18,3.531097576228594e-5
cell development,BP,2183,17,3.56899955200684e-5
protein phosphorylation,BP,1983,16,4.2515938243040906e-5
regulation of multicellular organismal process,BP,3260,21,5.4482462674409396e-5
regulation of ruffle assembly,BP,29,3,6.366074905484006e-5
neurogenesis,BP,1623,14,7.134279212561976e-5
positive regulation of developmental process,BP,1418,13,7.405551631273976e-5
regulation of cell differentiation,BP,1878,15,8.892888286441371e-5
regulation of cell junction assembly,BP,88,4,9.167912196064997e-5
sensory organ development,BP,548,8,1.002409307724683e-4
nucleic acid metabolic process,BP,5735,1884,3.0630171461065136e-122
nucleobase-containing compound metabolic process,BP,6411,2039,4.6244545695214766e-119
regulation of nucleobase-containing compound metabolic process,BP,4140,1464,3.416741551102479e-116
cellular aromatic compound metabolic process,BP,6615,2070,6.517145215752392e-113
heterocycle metabolic process,BP,6570,2059,8.40427075089185e-113
cellular macromolecule metabolic process,BP,8352,2469,2.3833332847037513e-112
organic cyclic compound metabolic process,BP,6839,2102,7.251085086240945e-106
regulation of cell communication,BP,3542,20,1.2166855721679013e-7
regulation of signaling,BP,3591,20,1.5388232846951693e-7
regulation of response to stimulus,BP,4342,21,6.851043321035894e-7
regulation of signal transduction,BP,3170,18,7.793024030375382e-7
regulation of cellular component organization,BP,2507,15,5.798857994474548e-6
extracellular structure organization,BP,422,7,6.1134322784645105e-6
positive regulation of biological process,BP,6254,23,1.8498522107267306e-5
positive regulation of peptidyl-serine phosphorylation,BP,105,4,3.0177169064310802e-5
extracellular matrix organization,BP,368,6,3.368981743764766e-5
regulation of phosphorylation,BP,1614,11,4.9658851543460865e-5
regulation of intracellular signal transduction,BP,1961,12,5.853448010386718e-5
positive regulation of protein transport,BP,418,6,6.84032557441476e-5
cellular response to glucose stimulus,BP,133,4,7.602316102345133e-5
cellular response to hexose stimulus,BP,135,4,8.055993843352564e-5
cellular response to monosaccharide stimulus,BP,136,4,8.290080625798863e-5
regulation of peptidyl-serine phosphorylation,BP,139,4,9.0220866665375e-5
cellular response to carbohydrate stimulus,BP,144,4,1.034506148099865e-4
positive regulation of establishment of protein localization,BP,456,6,1.1039329823225531e-4
ameboidal-type cell migration,BP,461,6,1.1718175657470686e-4
cellular glucose homeostasis,BP,152,4,1.2747441646409168e-4
T cell homeostasis,BP,37,2,2.848602749281547e-4
negative regulation of timing of anagen,BP,1,1,6.833268254587965e-4
positive regulation of transforming growth factor-beta secretion,BP,1,1,6.833268254587965e-4
lymphocyte homeostasis,BP,62,2,8.00960185280158e-4
developmental maturation,BP,284,3,8.566057258464753e-4
NAD transport,BP,2,1,0.0013662200467426944
negative regulation of hair follicle maturation,BP,2,1,0.0013662200467426944
phospholipid transfer to membrane,BP,2,1,0.0013662200467426944
positive regulation of bleb assembly,BP,2,1,0.0013662200467426944
regulation of bleb assembly,BP,2,1,0.0013662200467426944
leukocyte homeostasis,BP,86,2,0.0015336961480958249
histone H3-K36 dimethylation,BP,3,1,0.0020486799178423
positive regulation of interleukin-1 alpha secretion,BP,3,1,0.0020486799178423
regulation of transforming growth factor-beta secretion,BP,3,1,0.0020486799178423
calcium-mediated signaling using extracellular calcium source,BP,4,1,0.002730706692611662
negative regulation of hair follicle development,BP,4,1,0.002730706692611662
positive regulation of gamma-aminobutyric acid secretion,BP,4,1,0.002730706692611662
positive regulation of interleukin-1 alpha production,BP,4,1,0.002730706692611662
3'-UTR-mediated mRNA stabilization,BP,22,2,6.409983103714174e-4
positive regulation of translational initiation,BP,30,2,0.0011967671641236186
cytolysis by host of symbiont cells,BP,1,1,0.0017083170636469358
negative regulation of timing of anagen,BP,1,1,0.0017083170636469358
positive regulation of transforming growth factor-beta secretion,BP,1,1,0.0017083170636469358
cytolysis,BP,40,2,0.0021230662978672992
mRNA stabilization,BP,45,2,0.002680279988402265
modification of morphology or physiology of other organism,BP,164,3,0.002731003027520423
cell development,BP,2183,10,0.002774945033396177
response to ischemia,BP,50,2,0.003298817116600375
RNA stabilization,BP,50,2,0.003298817116600375
cytolysis in other organism involved in symbiotic interaction,BP,2,1,0.0034137990230734827
detection of chemical stimulus involved in sensory perception of smell,BP,427,249,3.149060125789395e-246
sensory perception of smell,BP,454,250,1.9848272618424205e-238
detection of chemical stimulus involved in sensory perception,BP,477,253,8.417295976584236e-236
detection of chemical stimulus,BP,512,254,7.09691602027743e-227
detection of stimulus involved in sensory perception,BP,531,255,4.1016525001341186e-223
sensory perception of chemical stimulus,BP,526,254,5.796359144488156e-223
detection of stimulus,BP,691,257,8.450206080731935e-190
sensory perception,BP,977,263,1.6733641351146654e-153
G protein-coupled receptor signaling pathway,BP,1371,267,4.190448724985994e-118
nervous system process,BP,1437,267,7.077069234369723e-113
system process,BP,2216,279,2.3263774773037417e-76
keratinization,BP,224,78,1.3546066453848852e-52
keratinocyte differentiation,BP,305,83,2.1815316874930475e-46
multicellular organismal process,BP,7751,494,4.68358324058678e-43
detection of chemical stimulus involved in sensory perception of smell,BP,427,255,3.447317662348844e-252
sensory perception of smell,BP,454,257,1.1203746762683136e-245
detection of chemical stimulus involved in sensory perception,BP,477,259,3.741955745376323e-241
detection of chemical stimulus,BP,512,260,7.264980567669905e-232
sensory perception of chemical stimulus,BP,526,261,2.423574679030125e-229
detection of stimulus involved in sensory perception,BP,531,261,6.283492550063702e-228
detection of stimulus,BP,691,263,1.730796292714803e-193
sensory perception,BP,977,272,2.5761598521258886e-159
G protein-coupled receptor signaling pathway,BP,1371,274,1.5898900703913975e-120
nervous system process,BP,1437,277,7.683806578024911e-118
system process,BP,2216,291,7.536880202674875e-81
keratinization,BP,224,78,1.6514649192871892e-51
keratinocyte differentiation,BP,305,83,2.877189109636073e-45
multicellular organismal process,BP,7751,505,4.041388616623138e-42
detection of chemical stimulus involved in sensory perception of smell,BP,427,247,2.56163388164833e-257
sensory perception of smell,BP,454,249,2.3453626613783975e-251
detection of chemical stimulus involved in sensory perception,BP,477,251,2.814191341600795e-247
detection of chemical stimulus,BP,512,252,1.7716675827120564e-238
sensory perception of chemical stimulus,BP,526,253,3.5905805338302713e-236
detection of stimulus involved in sensory perception,BP,531,253,8.257206837084434e-235
detection of stimulus,BP,691,255,1.0006661662304578e-201
sensory perception,BP,977,264,2.6602188099708086e-169
G protein-coupled receptor signaling pathway,BP,1371,263,2.9079910092846677e-128
nervous system process,BP,1437,268,7.48755510202338e-128
system process,BP,2216,278,6.1711147914108095e-89
keratinization,BP,224,76,5.508789131275193e-54
keratinocyte differentiation,BP,305,80,3.5938215566424014e-47
multicellular organismal process,BP,7751,454,1.9717680454761857e-44
detection of chemical stimulus involved in sensory perception of smell,BP,427,251,2.7372588907840053e-263
sensory perception of smell,BP,454,253,4.124866553625032e-257
detection of chemical stimulus involved in sensory perception,BP,477,257,3.0750167424353077e-256
detection of chemical stimulus,BP,512,259,1.0378438737525234e-248
sensory perception of chemical stimulus,BP,526,259,1.1764718311162884e-244
detection of stimulus involved in sensory perception,BP,531,258,1.1960127128981603e-241
detection of stimulus,BP,691,261,5.29988835026162e-209
sensory perception,BP,977,268,5.610044907887955e-173
G protein-coupled receptor signaling pathway,BP,1371,269,3.522841929686834e-133
nervous system process,BP,1437,273,1.0855763107317617e-131
system process,BP,2216,284,1.54733519885821e-92
keratinization,BP,224,76,1.026527798794621e-53
multicellular organismal process,BP,7751,465,3.0428728983274914e-48
keratinocyte differentiation,BP,305,81,6.215812409420447e-48
detection of chemical stimulus involved in sensory perception,BP,477,4,1.75539071221934e-4
detection of chemical stimulus,BP,512,4,2.3032653378288743e-4
sensory perception of chemical stimulus,BP,526,4,2.553743608394412e-4
detection of stimulus involved in sensory perception,BP,531,4,2.6478022055907854e-4
keratinization,BP,224,3,3.401220507811767e-4
peptidyl-histidine methylation,BP,1,1,6.345177664974777e-4
detection of stimulus,BP,691,4,7.190351742461081e-4
keratinocyte differentiation,BP,305,3,8.364031760453338e-4
epidermal cell differentiation,BP,358,3,0.0013284135500469195
skin development,BP,419,3,0.0020849967549800156
detection of chemical stimulus involved in sensory perception of smell,BP,427,3,0.0022005222588824423
sensory perception,BP,977,4,0.0025997334916940547
sensory perception of smell,BP,454,3,0.0026198233988296467
epidermis development,BP,464,3,0.0027868921043134975
actin modification,BP,5,1,0.003168874220426776
detection of chemical stimulus involved in sensory perception of smell,BP,427,64,1.0457057861811118e-51
sensory perception of smell,BP,454,64,5.661951108529892e-50
detection of chemical stimulus involved in sensory perception,BP,477,65,8.060773836549037e-50
detection of chemical stimulus,BP,512,65,8.137420933181003e-48
sensory perception of chemical stimulus,BP,526,65,4.661448945247742e-47
detection of stimulus involved in sensory perception,BP,531,65,8.583236967328897e-47
detection of stimulus,BP,691,66,1.2835029414505307e-40
sensory perception,BP,977,67,2.6762542534120055e-32
nervous system process,BP,1437,71,1.6384427782642998e-25
G protein-coupled receptor signaling pathway,BP,1371,68,1.844573559289533e-24
keratinization,BP,224,24,3.9392187372164953e-16
system process,BP,2216,71,4.995907029056451e-15
viral RNA genome replication,BP,32,3,2.4315614196359104e-4
regulation of organelle organization,BP,1261,14,2.612412001702269e-4
negative regulation of telomere capping,BP,8,2,3.947455041625993e-4
regulation of protein complex assembly,BP,467,8,3.983087812996543e-4
positive regulation of glucose import,BP,38,3,4.0682558921822324e-4
cellular protein localization,BP,1872,17,5.687482190837669e-4
cellular macromolecule localization,BP,1883,17,6.081451467420195e-4
positive regulation of glucose transmembrane transport,BP,44,3,6.282976311698064e-4
cellular protein catabolic process,BP,773,10,6.828715952144981e-4
negative regulation of cell adhesion mediated by integrin,BP,11,2,7.69664967015385e-4
cellular macromolecule metabolic process,BP,8352,1575,1.896657143685586e-87
organelle organization,BP,3885,872,5.074022594464638e-72
detection of chemical stimulus involved in sensory perception of smell,BP,427,247,5.893686374231325e-261
sensory perception of smell,BP,454,248,2.6645509106808323e-253
detection of chemical stimulus involved in sensory perception,BP,477,251,5.702851998872511e-251
detection of chemical stimulus,BP,512,253,8.36679898596065e-244
sensory perception of chemical stimulus,BP,526,252,2.8203633383251507e-238
detection of stimulus involved in sensory perception,BP,531,252,6.400694276104995e-237
detection of stimulus,BP,691,254,5.3566685234490394e-204
sensory perception,BP,977,260,3.2867953698903193e-168
G protein-coupled receptor signaling pathway,BP,1371,264,8.505689598640891e-133
nervous system process,BP,1437,263,1.6748550417494488e-126
system process,BP,2216,276,8.431054445158517e-91
keratinization,BP,224,76,6.62477183673938e-55
multicellular organismal process,BP,7751,459,7.189926980481644e-52
keratinocyte differentiation,BP,305,80,4.1145683451762946e-48
poly(A)+ mRNA export from nucleus,BP,19,1,0.001853929445872593
mRNA-containing ribonucleoprotein complex export from nucleus,BP,111,1,0.010806521490652532
mRNA export from nucleus,BP,111,1,0.010806521490652532
ribonucleoprotein complex export from nucleus,BP,127,1,0.012359377162957985
ribonucleoprotein complex localization,BP,128,1,0.012456390140988094
RNA export from nucleus,BP,135,1,0.013135347570530809
mRNA transport,BP,152,1,0.014783272149401672
protein export from nucleus,BP,179,1,0.017397733788269032
detection of chemical stimulus involved in sensory perception of smell,BP,427,231,1.2904216394336287e-253
sensory perception of smell,BP,454,232,7.087409805887578e-247
detection of chemical stimulus involved in sensory perception,BP,477,235,2.4548557790081287e-245
detection of chemical stimulus,BP,512,236,1.7449238321051573e-237
sensory perception of chemical stimulus,BP,526,236,6.547642272212384e-234
detection of stimulus involved in sensory perception,BP,531,236,1.1488053312020317e-232
detection of stimulus,BP,691,237,3.7824658125833674e-201
sensory perception,BP,977,241,2.7141887058200215e-166
G protein-coupled receptor signaling pathway,BP,1371,245,6.793320475691384e-134
nervous system process,BP,1437,244,7.086545276540393e-128
system process,BP,2216,252,2.2623538121968728e-91
keratinization,BP,224,70,7.5620786841867865e-53
multicellular organismal process,BP,7751,401,8.16960051626458e-51
keratinocyte differentiation,BP,305,72,5.737917507630728e-45
cellular component organization or biogenesis,BP,6697,414,2.351974459912852e-19
macromolecule biosynthetic process,BP,5114,337,5.146885054576091e-19
cellular macromolecule metabolic process,BP,8352,487,9.104267691080597e-19
cellular macromolecule biosynthetic process,BP,4961,327,2.548350754473935e-18
cellular component organization,BP,6512,401,3.555969496671663e-18
cellular nitrogen compound biosynthetic process,BP,5029,329,6.090745441268518e-18
circulatory system development,BP,1169,112,8.516041170188266e-16
cellular nitrogen compound metabolic process,BP,7161,420,2.2107066416129876e-15
organic substance biosynthetic process,BP,6259,378,2.5255631147409844e-15
biosynthetic process,BP,6339,380,6.7088387347469695e-15
Ral protein signal transduction,BP,3,1,0.002194907033220117
regulation of Ral protein signal transduction,BP,3,1,0.002194907033220117
C-terminal protein deglutamylation,BP,5,1,0.0036556794709575735
protein side chain deglutamylation,BP,5,1,0.0036556794709575735
Purkinje myocyte to ventricular cardiac muscle cell communication,BP,6,1,0.004385316965852426
Purkinje myocyte to ventricular cardiac muscle cell signaling,BP,6,1,0.004385316965852426
detection of chemical stimulus involved in sensory perception of smell,BP,427,233,6.92663257656188e-258
sensory perception of smell,BP,454,234,4.80594007307649e-251
detection of chemical stimulus involved in sensory perception,BP,477,237,1.8586070070460358e-249
detection of chemical stimulus,BP,512,237,8.206161070664468e-240
sensory perception of chemical stimulus,BP,526,238,7.049759182943355e-238
detection of stimulus involved in sensory perception,BP,531,238,1.2816192006370495e-236
detection of stimulus,BP,691,238,2.987213019133036e-203
sensory perception,BP,977,245,5.485325105832989e-172
nervous system process,BP,1437,249,9.109343722893802e-134
G protein-coupled receptor signaling pathway,BP,1371,243,2.2604230117544228e-132
