TUCR,Annotation,,,,,
uc.279,Intronic,,,,,
uc.28,Intronic,,,,,
uc.280,Partly Exonic,,,,,
uc.281,Intronic,,,,,
uc.282,Exon contaning ,,,,,
uc.283,Intergenic,,,,,
uc.284,Intergenic,,,,,
uc.285,Partly Exonic,,,,,
uc.286,Intronic,,,,,
uc.287,Intronic,,,,,
uc.288,Intronic,,,,,
uc.289,Intronic,,,,,
uc.29,Intronic,,,,,
uc.290,Intronic,,,,,
uc.291,Intronic,,,,,
uc.292,Exonic,,,,,
uc.293,Intergenic,,,,,
uc.294,Intergenic,,,,,
uc.295,Intergenic,,,,,
uc.296,Intergenic,,,,,
uc.297,Intergenic,,,,,
uc.298,Intergenic,,,,,
uc.299,Partly Exonic,,,,,
uc.3,Intronic,,,Exon containing,35,7%
uc.30,Intergenic,,,,,
uc.300,Intronic,,,,,
uc.301,Intronic,,,,,
uc.302,Intergenic,,,,,
uc.303,Intergenic,,,,,
uc.304,Exon contaning ,,,,,
uc.305,Intronic,,,,,
uc.306,Intronic,,,,,
uc.307,Intronic,,,,,
uc.308,Intronic,,,,,
uc.309,Intronic,,,,,
uc.31,Intronic,,,,,
uc.310,Intronic,,,,,
uc.311,Intronic,,,,,
uc.312,Intronic,,,,,
uc.313,Intronic,,,,,
uc.314,Intergenic,,,,,
uc.315,Intergenic,,,,,
uc.316,Intergenic,,,,,
uc.317,Intronic,,,,,
uc.318,Intronic,,,,,
uc.319,Intergenic,,,,,
uc.320,Intergenic,,,,,
uc.321,Exonic,,,,,
uc.322,Intronic,,,,,
uc.323,Intronic,,,,,
uc.324,Exon contaning ,,,,,
uc.325,Exonic,,,,,
uc.326,Intronic,,,,,
uc.327,Intronic,,,,,
uc.328,Partly Exonic,,,,,
uc.329,Intergenic,,,,,
uc.33,Exon contaning ,,,,,
uc.330,Partly Exonic,,,,,
uc.331,Exon contaning ,,,,,
uc.332,Intergenic,,,,,
uc.333,Exonic,,,,,
uc.334,Intronic,,,,,
uc.335,Intronic,,,,,
uc.336,Intronic,,,,,
uc.337,Intronic,,,,,
uc.338,Exonic,,,,,
uc.339,Partly Exonic,,,,,
uc.34,Exonic,,,,,
uc.340,Intergenic,,,,,
uc.341,Partly Exonic,,,,,
uc.342,Exonic,,,,,
uc.343,Exonic,,,,,
uc.344,Exonic,,,,,
uc.345,Partly Exonic,,,,,
uc.346,Intronic,,,,,
uc.347,Intergenic,,,,,
uc.348,Intronic,,,,,
uc.349,Intronic,,,,,
uc.35,Intronic,,,,,
uc.350,Intronic,,,,,
uc.351,Intergenic,,,,,
uc.352,Intergenic,,,,,
uc.353,Intergenic,,,,,
uc.354,Intronic,,,,,
uc.355,Intronic,,,,,
uc.356,Intronic,,,,,
uc.357,Intronic,,,,,
uc.358,Intronic,,,,,
uc.359,Exonic,,,,,
uc.36,Intronic,,,,,
uc.360,Exonic,,,,,
uc.361,Intronic,,,,,
uc.362,Intronic,,,,,
uc.363,Intronic,,,,,
uc.364,Intronic,,,,,
uc.365,Intronic,,,,,
uc.366,Exon contaning ,,,,,
uc.367,Intronic,,,,,
uc.368,Intronic,,,,,
uc.369,Intronic,,,,,
uc.37,Exon contaning ,,,,,
uc.370,Intronic,,,,,
uc.371,Intronic,,,,,
uc.372,Intronic,,,,,
uc.373,Intronic,,,,,
uc.374,Intronic,,,,,
uc.375,Exon contaning ,,,,,
uc.376,Intronic,,,,,
uc.377,Intronic,,,,,
uc.378,Exonic,,,,,
uc.379,Intergenic,,,,,
uc.38,Intergenic,,,,,
uc.380,Intergenic,,,,,
uc.381,Intergenic,,,,,
uc.382,Intronic,,,,,
uc.383,Intergenic,,,,,
uc.384,Intronic,,,,,
uc.385,Intronic,,,,,
uc.386,Intergenic,,,,,
uc.387,Partly Exonic,,,,,
uc.388,Intronic,,,,,
uc.389,Intronic,,,,,
uc.39,Intergenic,,,,,
uc.390,Exon contaning ,,,,,
uc.391,Exon contaning ,,,,,
uc.392,Intergenic,,,,,
uc.393,Partly Exonic,,,,,
uc.394,Intergenic,,,,,
uc.395,Exon contaning ,,,,,
uc.396,Intergenic,,,,,
uc.397,Intronic,,,,,
uc.398,Intronic,,,,,
uc.399,Intergenic,,,,,
uc.4,Intronic,,,Partly Exonic,35,7%
uc.40,Intronic,,,,,
uc.400,Intronic,,,,,
uc.401,Intronic,,,,,
uc.402,Intronic,,,,,
uc.403,Intergenic,,,,,
uc.404,Intergenic,,,,,
uc.405,Intergenic,,,,,
uc.406,Intronic,,,,,
uc.407,Exonic,,,,,
uc.408,Exonic,,,,,
uc.409,Exonic,,,,,
uc.41,Intergenic,,,,,
uc.410,Intergenic,,,,,
uc.411,Intronic,,,,,
uc.412,Intronic,,,,,
uc.413,Exonic,,,,,
uc.414,Exonic,,,,,
uc.415,Intronic,,,,,
uc.416,Exonic,,,,,
uc.417,Partly Exonic,,,,,
uc.418,Exonic,,,,,
uc.419,Exonic,,,,,
uc.42,Intronic,,,,,
uc.420,Partly Exonic,,,,,
uc.421,Intronic,,,,,
uc.422,Intronic,,,,,
uc.423,Intronic,,,,,
uc.424,Intronic,,,,,
uc.425,Intronic,,,,,
uc.426,Intronic,,,,,
uc.427,Intronic,,,,,
uc.428,Partly Exonic,,,,,
uc.429,Intronic,,,,,
uc.43,Intronic,,,,,
uc.430,Intronic,,,,,
uc.431,Intronic,,,,,
uc.432,Intronic,,,,,
uc.433,Intergenic,,,,,
uc.434,Intronic,,,,,
uc.435,Intronic,,,,,
uc.436,Exon contaning ,,,,,
uc.437,Intronic,,,,,
uc.438,Intronic,,,,,
uc.439,Intronic,,,,,
uc.44,Intronic,,,,,
uc.440,Intronic,,,,,
uc.441,Intronic,,,,,
uc.442,Intronic,,,,,
uc.443,Exon contaning ,,,,,
uc.444,Intronic,,,,,
uc.445,Intergenic,,,,,
uc.446,Intergenic,,,,,
uc.447,Intergenic,,,,,
uc.448,Intergenic,,,,,
uc.449,Intronic,,,,,
uc.45,Intronic,,,,,
uc.450,Intergenic,,,,,
uc.451,Intronic,,,,,
uc.452,Intronic,,,,,
uc.453,Intergenic,,,,,
uc.454,Exon contaning ,,,,,
uc.455,Intronic,,,,,
uc.456,Intronic,,,,,
uc.457,Partly Exonic,,,,,
uc.458,Intronic,,,,,
uc.459,Exon contaning ,,,,,
uc.46,Partly Exonic,,,,,
uc.460,Intronic,,,,,
uc.461,Intronic,,,,,
uc.462,Intronic,,,,,
uc.463,Intronic,,,,,
uc.464,Intronic,,,,,
uc.465,Intronic,,,,,
uc.466,Intronic,,,,,
uc.467,Intronic,,,,,
uc.468,Intergenic,,,,,
uc.469,Intergenic,,,,,
uc.47,Intergenic,,,,,
uc.470,Intergenic,,,,,
uc.471,Exonic,,,,,
uc.472,Exonic,,,,,
uc.473,Exon contaning ,,,,,
uc.474,Exon contaning ,,,,,
uc.475,Intronic,,,,,
uc.476,Intergenic,,,,,
uc.477,Partly Exonic,,,,,
uc.478,Exon contaning ,,,,,
uc.479,Exon contaning ,,,,,
uc.48,Exon contaning ,,,,,
uc.480,Exonic,,,,,
uc.481,Exonic,,,,,
uc.482,Intergenic,,,,,
uc.483,Intronic,,,,,
uc.49,Partly Exonic,,,,,
uc.5,Intronic,,,Exonic,48,10%
uc.50,Intronic,,,,,
uc.51,Intergenic,,,,,
uc.52,Intronic,,,,,
uc.53,Intronic,,,,,
uc.54,Intronic,,,,,
uc.55,Intronic,,,,,
uc.56,Intronic,,,,,
uc.57,Intronic,,,,,
uc.58,Exonic,,,,,
uc.59,Intronic,,,,,
uc.6,Intronic,,,TOTAL,480,100%
uc.60,Intergenic,,,,,
uc.61,Exonic,,,,,
uc.62,Partly Exonic,,,,,
uc.63,Intronic,,,,,
uc.64,Intronic,,,,,
uc.65,Intronic,,,,,
uc.66,Intronic,,,,,
uc.67,Intergenic,,,,,
uc.68,Intronic,,,,,
uc.69,Intronic,,,,,
uc.7,Intronic,,,,,
uc.70,Intronic,,,,,
uc.71,Intronic,,,,,
uc.72,Intronic,,,,,
uc.73,Intronic,,,,,
uc.74,Intronic,,,,,
uc.75,Exonic,,,,,
uc.76,Intronic,,,,,
uc.77,Intronic,,,,,
uc.78,Partly Exonic,,,,,
uc.79,Intronic,,,,,
uc.8,Intronic,,,,,
uc.80,Intronic,,,,,
uc.81,Intergenic,,,,,
uc.82,Intergenic,,,,,
uc.83,Intronic,,,,,
uc.84,Intronic,,,,,
uc.85,Exonic,,,,,
uc.86,Intronic,,,,,
uc.87,Intronic,,,,,
uc.88,Intronic,,,,,
uc.89,Intronic,,,,,
uc.9,Intergenic,,,,,
uc.90,Exonic,,,,,
uc.91,Intronic,,,,,
uc.92,Intronic,,,,,
uc.93,Intronic,,,,,
uc.94,Intronic,,,,,
uc.95,Intronic,,,,,
uc.96,Intronic,,,,,
uc.97,Exon contaning ,,,,,
uc.98,Intergenic,,,,,
uc.99,Intergenic,,,,,
