gene,annot
STK32B,ProteinKinases
STK32C,ProteinKinases
STK33,ProteinKinases
STK35,ProteinKinases
STK36,ProteinKinases
STK38,ProteinKinases
STK38L,ProteinKinases
STK39,ProteinKinases
STK4,ProteinKinases
STK40,ProteinKinases
STKLD1,ProteinKinases
STRADA,ProteinKinases
STRADB,ProteinKinases
STYK1,ProteinKinases
SYK,ProteinKinases
TAF1,ProteinKinases
TAF1L,ProteinKinases
TAOK1,ProteinKinases
TAOK2,ProteinKinases
TAOK3,ProteinKinases
TBCK,ProteinKinases
TBK1,ProteinKinases
TEC,ProteinKinases
TEK,ProteinKinases
TESK1,ProteinKinases
TESK2,ProteinKinases
TEX14,ProteinKinases
TGFBR1,ProteinKinases
TGFBR2,ProteinKinases
TIE1,ProteinKinases
TLK1,ProteinKinases
TLK2,ProteinKinases
TNIK,ProteinKinases
TNK1,ProteinKinases
TNK2,ProteinKinases
TNNI3K,ProteinKinases
TP53RK,ProteinKinases
TRIB1,ProteinKinases
TRIB2,ProteinKinases
TRIB3,ProteinKinases
TRIM24,ProteinKinases
TRIM28,ProteinKinases
TRIM33,ProteinKinases
TRIO,ProteinKinases
TRPM6,ProteinKinases
TRPM7,ProteinKinases
TRRAP,ProteinKinases
TSSK1B,ProteinKinases
TSSK2,ProteinKinases
TSSK3,ProteinKinases
TSSK4,ProteinKinases
TSSK6,ProteinKinases
TTBK1,ProteinKinases
TTBK2,ProteinKinases
TTK,ProteinKinases
TTN,ProteinKinases
TWF1,ProteinKinases
TWF2,ProteinKinases
TXK,ProteinKinases
TYK2,ProteinKinases
TYRO3,ProteinKinases
UHMK1,ProteinKinases
ULK1,ProteinKinases
ULK2,ProteinKinases
ULK3,ProteinKinases
ULK4,ProteinKinases
VRK1,ProteinKinases
VRK2,ProteinKinases
VRK3,ProteinKinases
WEE1,ProteinKinases
WEE2,ProteinKinases
WNK1,ProteinKinases
WNK2,ProteinKinases
WNK3,ProteinKinases
WNK4,ProteinKinases
ZAP70,ProteinKinases
ABCB1,CellDifferentiationMarkers
ABCG2,CellDifferentiationMarkers
ACE,CellDifferentiationMarkers
ACKR1,CellDifferentiationMarkers
ADAM10,CellDifferentiationMarkers
ADAM17,CellDifferentiationMarkers
ADGRE2,CellDifferentiationMarkers
ADGRE5,CellDifferentiationMarkers
ALCAM,CellDifferentiationMarkers
ALK,CellDifferentiationMarkers
ANPEP,CellDifferentiationMarkers
ART1,CellDifferentiationMarkers
ART4,CellDifferentiationMarkers
ATP1B3,CellDifferentiationMarkers
B3GAT1,CellDifferentiationMarkers
BCAM,CellDifferentiationMarkers
BMPR1A,CellDifferentiationMarkers
BMPR1B,CellDifferentiationMarkers
BSG,CellDifferentiationMarkers
BST1,CellDifferentiationMarkers
BST2,CellDifferentiationMarkers
BTLA,CellDifferentiationMarkers
BTN3A1,CellDifferentiationMarkers
C5AR1,CellDifferentiationMarkers
CCR1,CellDifferentiationMarkers
CCR2,CellDifferentiationMarkers
CCR3,CellDifferentiationMarkers
CCR4,CellDifferentiationMarkers
CCR5,CellDifferentiationMarkers
CCR6,CellDifferentiationMarkers
CCR7,CellDifferentiationMarkers
CCR8,CellDifferentiationMarkers
CCR9,CellDifferentiationMarkers
CD101,CellDifferentiationMarkers
CD109,CellDifferentiationMarkers
CD14,CellDifferentiationMarkers
CD151,CellDifferentiationMarkers
CD160,CellDifferentiationMarkers
CD163,CellDifferentiationMarkers
CD164,CellDifferentiationMarkers
CD177,CellDifferentiationMarkers
CD180,CellDifferentiationMarkers
CD19,CellDifferentiationMarkers
CD1A,CellDifferentiationMarkers
CD1B,CellDifferentiationMarkers
CD1C,CellDifferentiationMarkers
CD1D,CellDifferentiationMarkers
CD1E,CellDifferentiationMarkers
CD2,CellDifferentiationMarkers
CD200,CellDifferentiationMarkers
CD207,CellDifferentiationMarkers
CD209,CellDifferentiationMarkers
CD22,CellDifferentiationMarkers
CD226,CellDifferentiationMarkers
CD244,CellDifferentiationMarkers
CD247,CellDifferentiationMarkers
CD248,CellDifferentiationMarkers
CD27,CellDifferentiationMarkers
CD274,CellDifferentiationMarkers
CD276,CellDifferentiationMarkers
CD28,CellDifferentiationMarkers
CD300A,CellDifferentiationMarkers
CD300C,CellDifferentiationMarkers
CD302,CellDifferentiationMarkers
CD320,CellDifferentiationMarkers
CD33,CellDifferentiationMarkers
CD34,CellDifferentiationMarkers
CD36,CellDifferentiationMarkers
CD37,CellDifferentiationMarkers
CD38,CellDifferentiationMarkers
CD3D,CellDifferentiationMarkers
CD3E,CellDifferentiationMarkers
CD3G,CellDifferentiationMarkers
CD4,CellDifferentiationMarkers
CD40,CellDifferentiationMarkers
CD40LG,CellDifferentiationMarkers
CD44,CellDifferentiationMarkers
CD46,CellDifferentiationMarkers
CD47,CellDifferentiationMarkers
CD48,CellDifferentiationMarkers
CD5,CellDifferentiationMarkers
CD52,CellDifferentiationMarkers
CD53,CellDifferentiationMarkers
CD55,CellDifferentiationMarkers
CD58,CellDifferentiationMarkers
CD59,CellDifferentiationMarkers
CD5L,CellDifferentiationMarkers
CD6,CellDifferentiationMarkers
CD63,CellDifferentiationMarkers
CD68,CellDifferentiationMarkers
CD69,CellDifferentiationMarkers
CD7,CellDifferentiationMarkers
CD70,CellDifferentiationMarkers
CD72,CellDifferentiationMarkers
CD74,CellDifferentiationMarkers
CD79A,CellDifferentiationMarkers
CD79B,CellDifferentiationMarkers
CD81,CellDifferentiationMarkers
CD82,CellDifferentiationMarkers
CD83,CellDifferentiationMarkers
CD84,CellDifferentiationMarkers
CD86,CellDifferentiationMarkers
CD8A,CellDifferentiationMarkers
CD8B,CellDifferentiationMarkers
CD9,CellDifferentiationMarkers
CD93,CellDifferentiationMarkers
CD96,CellDifferentiationMarkers
CD99,CellDifferentiationMarkers
CDCP1,CellDifferentiationMarkers
CDH1,CellDifferentiationMarkers
CDH2,CellDifferentiationMarkers
CDH5,CellDifferentiationMarkers
CEACAM1,CellDifferentiationMarkers
CEACAM3,CellDifferentiationMarkers
CEACAM5,CellDifferentiationMarkers
CEACAM6,CellDifferentiationMarkers
CEACAM8,CellDifferentiationMarkers
CLEC10A,CellDifferentiationMarkers
CLEC4C,CellDifferentiationMarkers
CLEC4M,CellDifferentiationMarkers
CR1,CellDifferentiationMarkers
CR2,CellDifferentiationMarkers
CSF1R,CellDifferentiationMarkers
CSF2RA,CellDifferentiationMarkers
CSF2RB,CellDifferentiationMarkers
CSF3R,CellDifferentiationMarkers
CTLA4,CellDifferentiationMarkers
CXCR1,CellDifferentiationMarkers
CXCR2,CellDifferentiationMarkers
CXCR3,CellDifferentiationMarkers
CXCR4,CellDifferentiationMarkers
CXCR5,CellDifferentiationMarkers
CXCR6,CellDifferentiationMarkers
DDR1,CellDifferentiationMarkers
DDR2,CellDifferentiationMarkers
DPP4,CellDifferentiationMarkers
ENG,CellDifferentiationMarkers
ENPEP,CellDifferentiationMarkers
ENPP3,CellDifferentiationMarkers
ENTPD1,CellDifferentiationMarkers
EPCAM,CellDifferentiationMarkers
ERBB2,CellDifferentiationMarkers
F11R,CellDifferentiationMarkers
F3,CellDifferentiationMarkers
FAS,CellDifferentiationMarkers
FASLG,CellDifferentiationMarkers
FCAR,CellDifferentiationMarkers
FCER2,CellDifferentiationMarkers
FCGR1A,CellDifferentiationMarkers
FCGR2A,CellDifferentiationMarkers
FCGR2B,CellDifferentiationMarkers
FCGR2C,CellDifferentiationMarkers
FCGR3A,CellDifferentiationMarkers
FCRL5,CellDifferentiationMarkers
FGFR1,CellDifferentiationMarkers
FGFR2,CellDifferentiationMarkers
FGFR3,CellDifferentiationMarkers
FGFR4,CellDifferentiationMarkers
FLT3,CellDifferentiationMarkers
FUT3,CellDifferentiationMarkers
FUT4,CellDifferentiationMarkers
FZD10,CellDifferentiationMarkers
FZD4,CellDifferentiationMarkers
FZD9,CellDifferentiationMarkers
GGT1,CellDifferentiationMarkers
GP1BA,CellDifferentiationMarkers
GP1BB,CellDifferentiationMarkers
GP5,CellDifferentiationMarkers
GP9,CellDifferentiationMarkers
GYPA,CellDifferentiationMarkers
GYPB,CellDifferentiationMarkers
GYPC,CellDifferentiationMarkers
HMMR,CellDifferentiationMarkers
ICAM1,CellDifferentiationMarkers
ICAM2,CellDifferentiationMarkers
ICAM3,CellDifferentiationMarkers
ICAM4,CellDifferentiationMarkers
ICOS,CellDifferentiationMarkers
ICOSLG,CellDifferentiationMarkers
IFITM1,CellDifferentiationMarkers
IFNGR1,CellDifferentiationMarkers
IGF1R,CellDifferentiationMarkers
IGF2R,CellDifferentiationMarkers
IGLL1,CellDifferentiationMarkers
IGSF8,CellDifferentiationMarkers
IL10RA,CellDifferentiationMarkers
IL10RB,CellDifferentiationMarkers
IL12RB1,CellDifferentiationMarkers
IL13RA1,CellDifferentiationMarkers
IL13RA2,CellDifferentiationMarkers
IL17RA,CellDifferentiationMarkers
IL18R1,CellDifferentiationMarkers
IL18RAP,CellDifferentiationMarkers
IL1R1,CellDifferentiationMarkers
IL1R2,CellDifferentiationMarkers
IL2RA,CellDifferentiationMarkers
IL2RB,CellDifferentiationMarkers
IL2RG,CellDifferentiationMarkers
IL3RA,CellDifferentiationMarkers
IL4R,CellDifferentiationMarkers
IL5RA,CellDifferentiationMarkers
IL6R,CellDifferentiationMarkers
IL6ST,CellDifferentiationMarkers
IL7R,CellDifferentiationMarkers
IL9R,CellDifferentiationMarkers
INSR,CellDifferentiationMarkers
ITGA1,CellDifferentiationMarkers
ITGA2,CellDifferentiationMarkers
ITGA2B,CellDifferentiationMarkers
ITGA3,CellDifferentiationMarkers
ITGA4,CellDifferentiationMarkers
ITGA5,CellDifferentiationMarkers
ITGA6,CellDifferentiationMarkers
ITGAD,CellDifferentiationMarkers
ITGAE,CellDifferentiationMarkers
ITGAL,CellDifferentiationMarkers
ITGAM,CellDifferentiationMarkers
ITGAV,CellDifferentiationMarkers
ITGAX,CellDifferentiationMarkers
ITGB1,CellDifferentiationMarkers
ITGB2,CellDifferentiationMarkers
ITGB3,CellDifferentiationMarkers
ITGB4,CellDifferentiationMarkers
JAG1,CellDifferentiationMarkers
JAM2,CellDifferentiationMarkers
KDR,CellDifferentiationMarkers
KEL,CellDifferentiationMarkers
KIR2DL1,CellDifferentiationMarkers
KIR2DL2,CellDifferentiationMarkers
KIR2DL3,CellDifferentiationMarkers
KIR2DL4,CellDifferentiationMarkers
KIR2DL5A,CellDifferentiationMarkers
KIR2DS1,CellDifferentiationMarkers
KIR2DS2,CellDifferentiationMarkers
KIR2DS4,CellDifferentiationMarkers
KIR2DS5,CellDifferentiationMarkers
KIR3DL1,CellDifferentiationMarkers
KIR3DL2,CellDifferentiationMarkers
KIR3DP1,CellDifferentiationMarkers
KIR3DS1,CellDifferentiationMarkers
KIT,CellDifferentiationMarkers
KLRB1,CellDifferentiationMarkers
KLRC1,CellDifferentiationMarkers
KLRC2,CellDifferentiationMarkers
KLRD1,CellDifferentiationMarkers
KLRK1,CellDifferentiationMarkers
L1CAM,CellDifferentiationMarkers
LAG3,CellDifferentiationMarkers
LAIR1,CellDifferentiationMarkers
LAIR2,CellDifferentiationMarkers
LAMP1,CellDifferentiationMarkers
LAMP2,CellDifferentiationMarkers
LAMP3,CellDifferentiationMarkers
LEPR,CellDifferentiationMarkers
LIFR,CellDifferentiationMarkers
LILRA1,CellDifferentiationMarkers
LILRA2,CellDifferentiationMarkers
LILRA3,CellDifferentiationMarkers
LILRA4,CellDifferentiationMarkers
LILRA5,CellDifferentiationMarkers
LILRA6,CellDifferentiationMarkers
LILRB1,CellDifferentiationMarkers
LILRB2,CellDifferentiationMarkers
LILRB3,CellDifferentiationMarkers
LILRB4,CellDifferentiationMarkers
LILRB5,CellDifferentiationMarkers
LILRP1,CellDifferentiationMarkers
LILRP2,CellDifferentiationMarkers
LRP1,CellDifferentiationMarkers
LY75,CellDifferentiationMarkers
LY9,CellDifferentiationMarkers
MCAM,CellDifferentiationMarkers
MELTF,CellDifferentiationMarkers
MME,CellDifferentiationMarkers
MPL,CellDifferentiationMarkers
MRC1,CellDifferentiationMarkers
MRC2,CellDifferentiationMarkers
MS4A1,CellDifferentiationMarkers
MSR1,CellDifferentiationMarkers
MST1R,CellDifferentiationMarkers
MUC1,CellDifferentiationMarkers
NCAM1,CellDifferentiationMarkers
NCR1,CellDifferentiationMarkers
NCR2,CellDifferentiationMarkers
NCR3,CellDifferentiationMarkers
NECTIN1,CellDifferentiationMarkers
NECTIN2,CellDifferentiationMarkers
NECTIN3,CellDifferentiationMarkers
NGFR,CellDifferentiationMarkers
NRP1,CellDifferentiationMarkers
NT5E,CellDifferentiationMarkers
PDCD1,CellDifferentiationMarkers
PDCD1LG2,CellDifferentiationMarkers
PDGFRA,CellDifferentiationMarkers
PDGFRB,CellDifferentiationMarkers
PECAM1,CellDifferentiationMarkers
PLAUR,CellDifferentiationMarkers
PLXNC1,CellDifferentiationMarkers
PRNP,CellDifferentiationMarkers
PROCR,CellDifferentiationMarkers
PROM1,CellDifferentiationMarkers
PSG1,CellDifferentiationMarkers
PTGDR2,CellDifferentiationMarkers
PTGFRN,CellDifferentiationMarkers
PTPRC,CellDifferentiationMarkers
PTPRJ,CellDifferentiationMarkers
PVR,CellDifferentiationMarkers
RHAG,CellDifferentiationMarkers
RHCE,CellDifferentiationMarkers
RHD,CellDifferentiationMarkers
SDC1,CellDifferentiationMarkers
SEC23B,CellDifferentiationMarkers
SELE,CellDifferentiationMarkers
SELL,CellDifferentiationMarkers
SELP,CellDifferentiationMarkers
SELPLG,CellDifferentiationMarkers
SEMA4D,CellDifferentiationMarkers
SEMA7A,CellDifferentiationMarkers
SIGLEC1,CellDifferentiationMarkers
SIGLEC5,CellDifferentiationMarkers
SIGLEC6,CellDifferentiationMarkers
SIGLEC7,CellDifferentiationMarkers
SIGLEC9,CellDifferentiationMarkers
SIRPA,CellDifferentiationMarkers
SIRPB1,CellDifferentiationMarkers
SIRPG,CellDifferentiationMarkers
SLAMF1,CellDifferentiationMarkers
SLAMF7,CellDifferentiationMarkers
SLC3A2,CellDifferentiationMarkers
SLC44A1,CellDifferentiationMarkers
SLC4A1,CellDifferentiationMarkers
SPN,CellDifferentiationMarkers
TEK,CellDifferentiationMarkers
TFRC,CellDifferentiationMarkers
THBD,CellDifferentiationMarkers
THY1,CellDifferentiationMarkers
TLR1,CellDifferentiationMarkers
TLR10,CellDifferentiationMarkers
TLR2,CellDifferentiationMarkers
TLR3,CellDifferentiationMarkers
TLR4,CellDifferentiationMarkers
TLR6,CellDifferentiationMarkers
TLR8,CellDifferentiationMarkers
TLR9,CellDifferentiationMarkers
TNFRSF10A,CellDifferentiationMarkers
TNFRSF10B,CellDifferentiationMarkers
TNFRSF10C,CellDifferentiationMarkers
TNFRSF10D,CellDifferentiationMarkers
TNFRSF11A,CellDifferentiationMarkers
TNFRSF12A,CellDifferentiationMarkers
TNFRSF13B,CellDifferentiationMarkers
TNFRSF13C,CellDifferentiationMarkers
TNFRSF17,CellDifferentiationMarkers
TNFRSF1A,CellDifferentiationMarkers
TNFRSF1B,CellDifferentiationMarkers
TNFRSF4,CellDifferentiationMarkers
TNFRSF8,CellDifferentiationMarkers
TNFRSF9,CellDifferentiationMarkers
TNFSF10,CellDifferentiationMarkers
TNFSF11,CellDifferentiationMarkers
TNFSF13,CellDifferentiationMarkers
TNFSF13B,CellDifferentiationMarkers
TNFSF14,CellDifferentiationMarkers
TNFSF4,CellDifferentiationMarkers
TNFSF8,CellDifferentiationMarkers
TSPAN7,CellDifferentiationMarkers
VCAM1,CellDifferentiationMarkers
ADNP,HomeodomainProteins
ADNP2,HomeodomainProteins
ALX1,HomeodomainProteins
ALX3,HomeodomainProteins
ALX4,HomeodomainProteins
ARGFX,HomeodomainProteins
ARGFXP1,HomeodomainProteins
ARGFXP2,HomeodomainProteins
ARX,HomeodomainProteins
BARHL1,HomeodomainProteins
BARHL2,HomeodomainProteins
BARX1,HomeodomainProteins
BARX2,HomeodomainProteins
BSX,HomeodomainProteins
CDX1,HomeodomainProteins
CDX2,HomeodomainProteins
CDX4,HomeodomainProteins
CERS2,HomeodomainProteins
CERS3,HomeodomainProteins
CERS4,HomeodomainProteins
CERS5,HomeodomainProteins
CERS6,HomeodomainProteins
CRX,HomeodomainProteins
CUX1,HomeodomainProteins
CUX2,HomeodomainProteins
CUX2P1,HomeodomainProteins
DBX1,HomeodomainProteins
DBX2,HomeodomainProteins
DLX1,HomeodomainProteins
DLX2,HomeodomainProteins
DLX3,HomeodomainProteins
DLX4,HomeodomainProteins
DLX5,HomeodomainProteins
DLX6,HomeodomainProteins
DMBX1,HomeodomainProteins
DPRX,HomeodomainProteins
DPRXP1,HomeodomainProteins
DPRXP2,HomeodomainProteins
DPRXP3,HomeodomainProteins
DPRXP4,HomeodomainProteins
DPRXP5,HomeodomainProteins
DPRXP6,HomeodomainProteins
DPRXP7,HomeodomainProteins
DRGX,HomeodomainProteins
DUXA,HomeodomainProteins
DUXAP1,HomeodomainProteins
DUXAP10,HomeodomainProteins
DUXAP2,HomeodomainProteins
DUXAP3,HomeodomainProteins
DUXAP4,HomeodomainProteins
DUXAP5,HomeodomainProteins
DUXAP6,HomeodomainProteins
DUXAP7,HomeodomainProteins
DUXAP8,HomeodomainProteins
DUXAP9,HomeodomainProteins
DUXB,HomeodomainProteins
EMX1,HomeodomainProteins
EMX2,HomeodomainProteins
EN1,HomeodomainProteins
EN2,HomeodomainProteins
ESX1,HomeodomainProteins
EVX1,HomeodomainProteins
EVX2,HomeodomainProteins
GBX1,HomeodomainProteins
GBX2,HomeodomainProteins
GSC,HomeodomainProteins
GSC2,HomeodomainProteins
GSX1,HomeodomainProteins
GSX2,HomeodomainProteins
HDX,HomeodomainProteins
HESX1,HomeodomainProteins
HHEX,HomeodomainProteins
HLX,HomeodomainProteins
HMBOX1,HomeodomainProteins
HMX1,HomeodomainProteins
HMX2,HomeodomainProteins
HMX3,HomeodomainProteins
HNF1A,HomeodomainProteins
HNF1B,HomeodomainProteins
HOMEZ,HomeodomainProteins
HOPX,HomeodomainProteins
HOXA1,HomeodomainProteins
HOXA10,HomeodomainProteins
HOXA11,HomeodomainProteins
HOXA13,HomeodomainProteins
HOXA2,HomeodomainProteins
HOXA3,HomeodomainProteins
HOXA4,HomeodomainProteins
HOXA5,HomeodomainProteins
HOXA6,HomeodomainProteins
HOXA7,HomeodomainProteins
HOXA9,HomeodomainProteins
HOXB1,HomeodomainProteins
HOXB13,HomeodomainProteins
HOXB2,HomeodomainProteins
HOXB3,HomeodomainProteins
HOXB4,HomeodomainProteins
HOXB5,HomeodomainProteins
HOXB6,HomeodomainProteins
HOXB7,HomeodomainProteins
HOXB8,HomeodomainProteins
HOXB9,HomeodomainProteins
HOXC10,HomeodomainProteins
HOXC11,HomeodomainProteins
HOXC12,HomeodomainProteins
HOXC13,HomeodomainProteins
HOXC4,HomeodomainProteins
HOXC5,HomeodomainProteins
HOXC6,HomeodomainProteins
HOXC8,HomeodomainProteins
HOXC9,HomeodomainProteins
HOXD1,HomeodomainProteins
HOXD10,HomeodomainProteins
HOXD11,HomeodomainProteins
HOXD12,HomeodomainProteins
HOXD13,HomeodomainProteins
HOXD3,HomeodomainProteins
HOXD4,HomeodomainProteins
HOXD8,HomeodomainProteins
HOXD9,HomeodomainProteins
IRX1,HomeodomainProteins
IRX1P1,HomeodomainProteins
IRX2,HomeodomainProteins
IRX3,HomeodomainProteins
IRX4,HomeodomainProteins
IRX5,HomeodomainProteins
IRX6,HomeodomainProteins
ISL1,HomeodomainProteins
ISL2,HomeodomainProteins
ISX,HomeodomainProteins
LBX1,HomeodomainProteins
LBX2,HomeodomainProteins
LEUTX,HomeodomainProteins
LHX1,HomeodomainProteins
LHX2,HomeodomainProteins
LHX3,HomeodomainProteins
LHX4,HomeodomainProteins
LHX5,HomeodomainProteins
LHX6,HomeodomainProteins
LHX8,HomeodomainProteins
LHX9,HomeodomainProteins
LMX1A,HomeodomainProteins
LMX1B,HomeodomainProteins
MEIS1,HomeodomainProteins
MEIS2,HomeodomainProteins
MEIS3,HomeodomainProteins
MEIS3P1,HomeodomainProteins
MEIS3P2,HomeodomainProteins
MEOX1,HomeodomainProteins
MEOX2,HomeodomainProteins
MIXL1,HomeodomainProteins
MKX,HomeodomainProteins
MNX1,HomeodomainProteins
MSX1,HomeodomainProteins
MSX2,HomeodomainProteins
MSX2P1,HomeodomainProteins
NANOG,HomeodomainProteins
NANOGP1,HomeodomainProteins
NANOGP10,HomeodomainProteins
NANOGP11,HomeodomainProteins
NANOGP2,HomeodomainProteins
NANOGP3,HomeodomainProteins
NANOGP4,HomeodomainProteins
NANOGP5,HomeodomainProteins
NANOGP6,HomeodomainProteins
NANOGP7,HomeodomainProteins
NANOGP8,HomeodomainProteins
NANOGP9,HomeodomainProteins
NKX1-2,HomeodomainProteins
NKX2-1,HomeodomainProteins
NKX2-2,HomeodomainProteins
NKX2-3,HomeodomainProteins
NKX2-4,HomeodomainProteins
NKX2-5,HomeodomainProteins
NKX2-6,HomeodomainProteins
NKX2-8,HomeodomainProteins
NKX3-1,HomeodomainProteins
NKX3-2,HomeodomainProteins
NKX6-1,HomeodomainProteins
NKX6-2,HomeodomainProteins
NKX6-3,HomeodomainProteins
NOBOX,HomeodomainProteins
NOTO,HomeodomainProteins
ONECUT1,HomeodomainProteins
ONECUT2,HomeodomainProteins
ONECUT3,HomeodomainProteins
OTP,HomeodomainProteins
OTX1,HomeodomainProteins
OTX2,HomeodomainProteins
OTX2P1,HomeodomainProteins
PAX2,HomeodomainProteins
PAX3,HomeodomainProteins
PAX4,HomeodomainProteins
PAX5,HomeodomainProteins
PAX6,HomeodomainProteins
PAX7,HomeodomainProteins
PAX8,HomeodomainProteins
PBX1,HomeodomainProteins
PBX2,HomeodomainProteins
PBX2P1,HomeodomainProteins
PBX3,HomeodomainProteins
PBX4,HomeodomainProteins
PDX1,HomeodomainProteins
PHOX2A,HomeodomainProteins
PHOX2B,HomeodomainProteins
PITX1,HomeodomainProteins
PITX2,HomeodomainProteins
PITX3,HomeodomainProteins
PKNOX1,HomeodomainProteins
PKNOX2,HomeodomainProteins
POU1F1,HomeodomainProteins
POU2F1,HomeodomainProteins
POU2F2,HomeodomainProteins
POU2F3,HomeodomainProteins
POU3F1,HomeodomainProteins
POU3F2,HomeodomainProteins
POU3F3,HomeodomainProteins
POU3F4,HomeodomainProteins
POU4F1,HomeodomainProteins
POU4F2,HomeodomainProteins
POU4F3,HomeodomainProteins
POU5F1,HomeodomainProteins
POU5F1B,HomeodomainProteins
POU5F1P2,HomeodomainProteins
POU5F1P3,HomeodomainProteins
POU5F1P4,HomeodomainProteins
POU5F1P5,HomeodomainProteins
POU5F1P6,HomeodomainProteins
POU5F1P7,HomeodomainProteins
POU5F2,HomeodomainProteins
POU6F1,HomeodomainProteins
POU6F2,HomeodomainProteins
PROP1,HomeodomainProteins
PROX1,HomeodomainProteins
PROX2,HomeodomainProteins
PRRX1,HomeodomainProteins
PRRX2,HomeodomainProteins
RAX,HomeodomainProteins
RAX2,HomeodomainProteins
RHOXF1,HomeodomainProteins
RHOXF2,HomeodomainProteins
RHOXF2B,HomeodomainProteins
SATB1,HomeodomainProteins
SATB2,HomeodomainProteins
SEBOX,HomeodomainProteins
SHOX,HomeodomainProteins
SHOX2,HomeodomainProteins
SIX1,HomeodomainProteins
SIX2,HomeodomainProteins
SIX3,HomeodomainProteins
SIX4,HomeodomainProteins
SIX5,HomeodomainProteins
SIX6,HomeodomainProteins
TGIF1,HomeodomainProteins
TGIF1P1,HomeodomainProteins
TGIF2,HomeodomainProteins
TGIF2LX,HomeodomainProteins
TGIF2LY,HomeodomainProteins
TGIF2P1,HomeodomainProteins
TLX1,HomeodomainProteins
TLX2,HomeodomainProteins
TLX3,HomeodomainProteins
TPRX1,HomeodomainProteins
TPRX1P1,HomeodomainProteins
TPRX2P,HomeodomainProteins
TPRXL,HomeodomainProteins
TSHZ1,HomeodomainProteins
TSHZ2,HomeodomainProteins
TSHZ3,HomeodomainProteins
UNCX,HomeodomainProteins
VAX1,HomeodomainProteins
VAX2,HomeodomainProteins
VENTX,HomeodomainProteins
VENTXP1,HomeodomainProteins
VENTXP2,HomeodomainProteins
VENTXP3,HomeodomainProteins
VENTXP4,HomeodomainProteins
VENTXP5,HomeodomainProteins
VENTXP6,HomeodomainProteins
VENTXP7,HomeodomainProteins
VSX1,HomeodomainProteins
VSX2,HomeodomainProteins
ZEB1,HomeodomainProteins
ZEB2,HomeodomainProteins
ZEB2P1,HomeodomainProteins
ZFHX2,HomeodomainProteins
ZFHX3,HomeodomainProteins
ZFHX4,HomeodomainProteins
ZHX1,HomeodomainProteins
ZHX2,HomeodomainProteins
ZHX3,HomeodomainProteins
AATF,TranscriptionFactors
ABT1,TranscriptionFactors
ACVR2A,TranscriptionFactors
ADNP,TranscriptionFactors
ADNP2,TranscriptionFactors
ADPGK,TranscriptionFactors
AFDN,TranscriptionFactors
AFF1,TranscriptionFactors
AFF2,TranscriptionFactors
AFF3,TranscriptionFactors
AFF4,TranscriptionFactors
AHR,TranscriptionFactors
AIRE,TranscriptionFactors
AKAP17A,TranscriptionFactors
ALX1,TranscriptionFactors
ALX3,TranscriptionFactors
ALX4,TranscriptionFactors
ALYREF,TranscriptionFactors
ANP32A,TranscriptionFactors
AR,TranscriptionFactors
ARC,TranscriptionFactors
ARFGAP2,TranscriptionFactors
ARGFX,TranscriptionFactors
ARGFXP1,TranscriptionFactors
ARGFXP2,TranscriptionFactors
ARHGAP35,TranscriptionFactors
ARID1B,TranscriptionFactors
ARID3A,TranscriptionFactors
ARID3B,TranscriptionFactors
ARID5A,TranscriptionFactors
ARID5B,TranscriptionFactors
ARIH2,TranscriptionFactors
ARNT,TranscriptionFactors
ARNT2,TranscriptionFactors
ARNTL,TranscriptionFactors
ARX,TranscriptionFactors
ASCL1,TranscriptionFactors
ASCL2,TranscriptionFactors
ASCL3,TranscriptionFactors
ASH1L,TranscriptionFactors
ASH2L,TranscriptionFactors
ATF1,TranscriptionFactors
ATF2,TranscriptionFactors
ATF3,TranscriptionFactors
ATF4,TranscriptionFactors
ATF5,TranscriptionFactors
ATF6,TranscriptionFactors
ATF6B,TranscriptionFactors
ATF7,TranscriptionFactors
ATF7IP,TranscriptionFactors
ATG4B,TranscriptionFactors
ATN1,TranscriptionFactors
ATOH1,TranscriptionFactors
ATOH7,TranscriptionFactors
ATRX,TranscriptionFactors
ATXN2,TranscriptionFactors
BACH1,TranscriptionFactors
BACH2,TranscriptionFactors
BANP,TranscriptionFactors
BARHL1,TranscriptionFactors
BARHL2,TranscriptionFactors
BARX1,TranscriptionFactors
BARX2,TranscriptionFactors
BATF,TranscriptionFactors
BATF3,TranscriptionFactors
BAZ1A,TranscriptionFactors
BAZ1B,TranscriptionFactors
BAZ2A,TranscriptionFactors
BAZ2B,TranscriptionFactors
BCL11A,TranscriptionFactors
BCL11B,TranscriptionFactors
BCL3,TranscriptionFactors
BCL6,TranscriptionFactors
BCLAF1,TranscriptionFactors
BHLHE22,TranscriptionFactors
BHLHE40,TranscriptionFactors
BHLHE41,TranscriptionFactors
BLOC1S1,TranscriptionFactors
BLZF1,TranscriptionFactors
BMI1,TranscriptionFactors
BNC1,TranscriptionFactors
BNC2,TranscriptionFactors
BORCS8-MEF2B,TranscriptionFactors
BPTF,TranscriptionFactors
BRD1,TranscriptionFactors
BRD2,TranscriptionFactors
BRD3,TranscriptionFactors
BRD4,TranscriptionFactors
BRD7,TranscriptionFactors
BRDT,TranscriptionFactors
BRF1,TranscriptionFactors
BRPF1,TranscriptionFactors
BRPF3,TranscriptionFactors
BSX,TranscriptionFactors
BTAF1,TranscriptionFactors
BTBD3,TranscriptionFactors
