chrom	start	end	id	TCGA-06-0649-01B-01R-1849-01.bam	TCGA-06-0675-11A-32R-A36H-07.bam	TCGA-06-0678-11A-32R-A36H-07.bam	TCGA-06-0680-11A-32R-A36H-07.bam	TCGA-06-0681-11A-41R-A36H-07.bam	TCGA-06-0686-01A-01R-1849-01.bam	TCGA-06-0743-01A-01R-1849-01.bam	TCGA-06-0744-01A-01R-1849-01.bam	TCGA-06-0745-01A-01R-1849-01.bam	TCGA-06-0747-01A-01R-1849-01.bam	TCGA-06-0749-01A-01R-1849-01.bam	TCGA-06-0750-01A-01R-1849-01.bam
chr10	131691585	131691906	uc.318	0	0	0	0	0	0	0	0	0	0	0	0
chr11	8304694	8305010	uc.319	0	2	0	1	0	0	0	1	0	4	0	0
chr11	8317833	8318168	uc.320	0	1	0	0	0	0	0	3	0	4	0	0
chr11	15624423	15624627	uc.321	0	0	0	0	0	0	0	0	0	5	2	0
chr11	16316350	16316573	uc.322	3	0	0	1	3	0	2	7	0	0	0	0
chr11	16475335	16475535	uc.323	0	0	0	0	0	0	0	0	0	0	0	0
chr11	30557520	30557745	uc.324	41	152	101	180	145	46	111	106	288	131	50	25
chr11	31685643	31685878	uc.325	2	33	44	59	47	41	139	120	0	102	22	95
chr11	31785679	31785994	uc.326	0	0	0	0	0	0	4	0	2	2	10	0
chr11	31786283	31786551	uc.327	0	0	0	0	0	0	4	0	0	2	10	0
chr11	31825662	31825893	uc.328	40	25	31	52	39	9	66	53	15	66	34	18
chr11	32197991	32198298	uc.329	0	0	0	0	0	0	0	0	0	0	0	0
chr11	66393895	66394102	uc.330	431	345	527	337	520	455	875	855	1075	958	653	628
chr11	83195158	83195376	uc.331	11	226	206	262	109	3	3	8	2	19	6	6
chr11	116232689	116233026	uc.332	0	0	0	0	0	0	0	0	0	0	0	0
chr11	124644646	124644916	uc.333	108	47	72	75	84	45	209	244	120	265	84	124
chr11	131867944	131868166	uc.334	0	0	134	215	0	0	0	0	0	0	0	1
chr12	16715413	16715627	uc.335	266	342	174	364	248	8	136	19	89	0	90	6
chr12	24292005	24292256	uc.336	0	0	0	0	0	0	0	0	0	0	0	0
chr12	41749178	41749396	uc.337	2	0	0	0	0	0	2	0	0	0	0	0
chr12	53858488	53858711	uc.338	3347	2198	2537	2321	2305	2955	5160	6378	9254	6473	4768	4406
chr12	54071095	54071347	uc.339	28	29	20	40	89	0	22	4	14	67	33	2
chr12	54090831	54091090	uc.340	1	0	1	0	0	1	0	0	0	0	0	0
chr12	54382917	54383231	uc.341	371	0	0	0	0	258	454	11	1018	127	495	130
chr12	54410493	54410720	uc.342	1	0	0	0	0	0	1	0	0	0	1	2
chr12	54422440	54422828	uc.343	138	0	0	0	1	69	69	1	193	22	65	42
chr12	54426885	54427139	uc.344	6	0	0	0	0	9	7	0	11	4	1	2
chr12	54447599	54447900	uc.345	130	2	5	6	0	82	122	20	226	74	69	94
chr12	106976509	106976711	uc.346	6	5	4	3	4	1	7	7	5	15	5	1
chr13	71793987	71794196	uc.347	0	0	0	0	0	0	0	0	0	0	0	0
chr13	72063356	72063596	uc.348	3	2	5	2	0	0	0	0	0	0	0	0
chr13	72121301	72121504	uc.349	3	0	7	2	0	0	0	0	0	0	0	0
chr13	72256099	72256339	uc.350	3	6	0	7	0	5	3	6	0	0	0	0
chr13	72668899	72669154	uc.351	0	0	0	0	0	0	0	0	0	0	0	0
chr13	72694164	72694364	uc.352	0	0	0	0	0	0	0	0	0	0	0	0
chr13	72771552	72771875	uc.353	0	0	0	0	0	0	0	0	0	0	0	0
chr13	78976828	78977063	uc.354	0	0	0	0	0	0	0	0	0	2	0	0
chr13	95618881	95619109	uc.355	3	0	0	0	0	0	1	0	0	0	0	0
chr13	98008819	98009070	uc.356	52	125	114	121	93	23	24	5	12	50	24	15
chr13	112716336	112716578	uc.357	0	23	8	34	8	4	0	2	17	0	25	4
chr14	26378033	26378259	uc.358	0	0	2	0	0	0	0	0	0	0	0	0
chr14	26914967	26915291	uc.359	219	298	267	351	281	288	540	713	528	545	219	384
chr14	26915381	26915668	uc.360	485	840	665	891	922	796	1250	1276	1163	1013	569	837
chr14	29233134	29233401	uc.361	0	1	0	6	5	0	2	11	0	0	0	4
chr14	29348751	29348990	uc.362	0	0	0	0	0	0	0	0	0	0	0	0
chr14	29861318	29861583	uc.363	0	0	0	2	0	0	0	0	0	0	0	0
chr14	30712758	30712965	uc.364	0	0	0	0	0	0	0	0	0	0	0	0
chr14	30742361	30742639	uc.365	0	0	0	0	0	0	0	0	0	0	0	0
chr14	31382706	31382908	uc.366	42	141	131	145	93	33	23	74	53	124	19	6
chr14	33844462	33844760	uc.367	0	25	32	30	22	9	17	24	17	38	6	11
chr14	34068575	34068803	uc.368	0	0	0	0	0	0	0	0	0	0	5	0
chr14	34122616	34122829	uc.369	0	25	31	32	0	9	10	23	14	0	5	8
chr14	34202570	34202963	uc.370	0	14	15	20	20	8	12	20	19	29	6	0
chr14	36020188	36020484	uc.371	0	17	24	24	17	0	0	1	0	2	0	0
chr14	36043034	36043311	uc.372	11	38	25	35	27	2	26	30	20	49	17	10
chr14	36581806	36582200	uc.373	0	0	0	0	0	0	0	0	6	0	0	0
chr14	37715912	37716136	uc.374	0	0	0	0	0	0	0	0	0	0	0	0
chr14	37777219	37777519	uc.375	7	12	2	7	2	0	0	0	0	0	0	0
chr14	45565749	45566039	uc.376	39	90	94	98	72	22	68	100	37	122	18	23
chr14	45579022	45579239	uc.377	53	55	45	90	90	35	80	138	35	119	45	51
chr14	80327476	80327727	uc.378	21	706	587	694	368	11	9	2	15	11	22	10
chr14	97431367	97431619	uc.379	0	0	0	0	0	0	2	0	2	0	0	0
chr14	97762593	97762825	uc.380	0	0	0	0	0	0	0	0	0	0	0	0
chr14	97879289	97879527	uc.381	0	0	0	0	0	0	0	0	0	0	0	0
chr15	35918911	35919111	uc.382	0	0	0	0	0	0	0	7	0	0	8	0
chr15	36819926	36820195	uc.383	0	0	0	0	0	0	0	0	0	0	2	0
chr15	36965392	36965658	uc.384	11	1	6	7	6	5	3	8	10	14	4	4
chr15	37185669	37185878	uc.385	49	24	22	40	47	9	53	56	17	25	34	31
chr15	37522008	37522211	uc.386	0	0	0	0	0	0	0	0	0	0	0	0
chr15	42032053	42032291	uc.387	7	17	24	32	16	1	8	3	3	13	1	6
chr15	57425524	57425822	uc.388	0	17	27	21	22	10	23	37	21	62	15	2
chr15	67665384	67665655	uc.389	8	1	2	0	0	3	0	3	11	0	0	7
chr15	67878169	67878374	uc.390	59	127	81	122	73	39	78	81	175	82	77	103
chr15	68040303	68040614	uc.391	79	40	29	44	50	53	125	72	147	50	92	144
chr15	70392133	70392389	uc.392	2	0	0	0	0	0	2	0	2	0	0	2
chr15	74914241	74914516	uc.393	96	118	179	138	192	140	192	134	291	364	200	178
chr15	97236099	97236301	uc.394	0	0	0	0	0	0	0	0	0	0	0	0
chr16	24579002	24579251	uc.395	13	60	50	48	35	3	16	25	17	50	8	2
chr16	49094730	49094938	uc.396	0	0	0	0	0	0	0	0	0	0	0	0
chr16	49735847	49736158	uc.397	0	0	0	0	0	0	0	0	0	0	0	0
chr16	49890890	49891212	uc.398	5	10	4	5	7	4	2	0	0	0	0	0
chr16	50848990	50849204	uc.399	0	0	0	1	0	0	0	0	0	0	0	0
chr16	51671486	51671692	uc.400	0	0	0	0	0	0	0	0	0	0	0	0
chr16	52494714	52494964	uc.401	24	16	5	28	13	17	0	15	21	17	3	5
chr16	53654384	53654629	uc.402	31	16	8	8	19	4	12	18	12	12	9	14
chr16	54323854	54324060	uc.403	3	0	0	0	0	0	1	1	2	5	0	8
chr16	55223356	55223591	uc.404	2	0	0	0	0	0	1	2	0	2	0	0
chr16	59575394	59575604	uc.405	0	0	0	0	0	0	0	0	0	0	0	0
chr16	69680363	69680574	uc.406	0	9	7	4	3	0	1	0	0	0	0	0
chr16	69681154	69681480	uc.407	9	112	91	137	46	6	1	3	7	23	7	8
chr16	72821044	72821296	uc.408	58	32	49	27	41	22	77	55	84	60	57	74
chr16	73092870	73093114	uc.409	6	7	2	4	11	0	12	8	4	8	2	5
chr17	35012229	35012448	uc.410	0	0	0	0	0	0	0	0	0	0	0	0
chr17	35329618	35329847	uc.411	102	82	71	90	82	0	130	119	173	180	133	126
chr17	35336485	35336753	uc.412	103	82	71	92	82	0	128	121	173	182	133	129
chr17	37566518	37566790	uc.413	50	116	79	107	56	25	23	32	27	77	19	24
chr17	38249173	38249419	uc.414	2295	4880	3927	4731	5126	1299	1934	1341	3974	2909	3786	3255
chr17	46663905	46664112	uc.415	0	0	0	0	0	0	0	0	0	0	0	0
chr17	46670886	46671172	uc.416	12	0	0	0	0	1	19	0	2	39	0	1
chr17	46682311	46682533	uc.417	1	0	0	0	0	0	2	0	0	0	0	0
chr17	56082227	56082444	uc.418	1089	972	1197	1256	1085	811	2085	1907	1690	2070	1108	1165
chr17	56082714	56083003	uc.419	1119	962	1215	1207	995	676	1675	1611	1524	2121	855	801
chr17	62496770	62497003	uc.420	4267	2708	3082	3489	3551	2888	8306	7279	5044	10183	4542	5515
chr18	22693154	22693499	uc.421	62	29	21	28	29	29	100	76	103	99	0	0
chr18	22748187	22748413	uc.422	62	29	21	28	29	29	101	76	103	99	0	0
chr18	22756354	22756577	uc.423	62	29	21	28	29	29	100	77	104	99	0	0
chr18	22767778	22767993	uc.424	62	29	21	28	29	29	100	76	103	99	0	0
chr18	22865206	22865531	uc.425	15	16	7	19	13	5	4	9	10	26	3	0
chr18	23915591	23915853	uc.426	3	16	17	16	14	5	4	0	0	10	3	0
chr18	24237198	24237413	uc.427	6	28	8	15	16	1	5	6	2	9	6	1
chr18	30353208	30353447	uc.428	1	0	0	0	0	0	0	0	4	0	0	2
chr18	34480540	34480778	uc.429	0	0	0	0	0	0	0	0	0	0	0	0
chr18	35063649	35063862	uc.430	0	0	1	391	0	0	0	0	0	4	0	0
chr18	35178599	35178829	uc.431	0	0	0	0	0	0	0	0	0	0	0	0
chr18	35564931	35565142	uc.432	0	2	0	0	0	0	0	0	0	0	0	0
chr18	36063631	36063837	uc.433	0	0	0	0	0	0	0	0	0	0	0	0
chr18	44770787	44771036	uc.434	0	0	0	0	0	0	1	0	10	0	0	0
chr18	53089930	53090157	uc.435	15	0	0	0	0	0	3	11	0	17	0	0
chr18	53254240	53254450	uc.436	28	48	23	73	27	14	1	13	40	38	4	7
chr18	72357657	72357872	uc.437	10	17	14	15	0	0	0	0	6	14	0	0
chr18	72357873	72358114	uc.438	10	17	14	15	0	0	0	0	6	14	0	0
chr18	72363030	72363293	uc.439	10	17	14	15	1	0	0	0	6	14	0	0
chr18	72363364	72363693	uc.440	10	17	15	15	1	0	0	0	6	14	0	0
chr18	72568591	72568839	uc.441	8	10	2	7	0	0	0	0	8	7	0	0
chr18	72592711	72592960	uc.442	5	12	10	14	0	7	0	6	6	6	0	4
chr19	8527268	8527507	uc.443	229	408	431	482	423	177	279	340	317	588	135	162
chr19	30494778	30495166	uc.444	114	2	0	0	61	46	103	123	110	184	0	65
chr19	30566434	30566744	uc.445	0	0	0	0	0	0	0	0	0	0	0	0
chr19	30747853	30748125	uc.446	0	10	9	6	0	0	1	0	0	2	0	0
chr19	30767780	30768053	uc.447	0	10	9	6	0	0	0	0	0	0	0	0
chr19	30841529	30841761	uc.448	0	0	6	0	0	0	0	0	0	0	0	0
chr19	31003540	31003830	uc.449	0	17	20	21	19	0	0	0	0	0	3	0
chr19	31587625	31587836	uc.450	0	0	0	0	0	0	0	0	0	0	0	0
chr19	31806619	31806844	uc.451	0	0	0	0	0	0	0	0	0	5	0	0
chr19	31827946	31828150	uc.452	2	1	0	1	3	2	43	7	0	21	2	28
chr19	42437316	42437641	uc.453	0	0	1	2	0	2	0	1	2	5	0	0
chr2	7774650	7774877	uc.47	2	0	0	0	0	0	0	0	0	0	0	0
chr2	20478332	20478630	uc.48	209	121	160	180	122	51	45	81	97	213	18	38
chr2	33813408	33813615	uc.49	204	335	411	453	333	109	140	133	158	357	128	128
chr2	38976300	38976522	uc.50	618	341	385	392	416	562	823	1109	1071	982	709	806
chr2	57972558	57972765	uc.51	0	0	0	0	0	0	0	0	0	0	0	0
chr2	59108185	59108459	uc.52	0	0	0	0	7	2	0	0	0	0	0	0
chr2	59133310	59133542	uc.53	0	8	0	16	7	2	0	4	0	0	0	2
chr2	59199402	59199611	uc.54	0	5	0	2	3	0	0	0	0	0	0	0
chr2	59746577	59746817	uc.55	0	0	0	0	0	0	0	0	0	0	0	0
chr2	59947830	59948032	uc.56	0	0	0	0	0	0	0	0	0	0	0	0
chr2	60139239	60139485	uc.57	0	0	0	0	0	0	0	0	0	0	0	0
chr2	60297962	60298165	uc.58	0	0	0	0	0	0	0	0	0	0	0	0
chr2	60298382	60298602	uc.59	0	0	0	0	0	0	0	0	0	0	0	0
chr2	60441559	60441776	uc.60	0	0	0	0	0	0	0	0	0	0	0	0
chr2	60687572	60687898	uc.61	16	196	204	192	232	13	5	20	1	22	26	3
chr2	60780681	60780915	uc.62	1	117	74	76	81	1	2	3	2	3	13	0
chr2	61752500	61752778	uc.63	55	65	55	19	44	10	23	45	64	16	12	15
chr2	63194090	63194335	uc.64	126	141	95	141	103	28	42	41	55	96	38	47
chr2	66298590	66298802	uc.65	0	0	0	0	0	0	0	0	6	0	0	0
chr2	73175002	73175249	uc.66	95	235	194	346	223	36	50	66	92	181	55	38
chr2	104736725	104736942	uc.67	0	0	0	0	0	0	0	0	0	0	0	0
chr2	143914721	143914976	uc.68	25	5	0	4	4	8	7	6	16	9	4	12
chr2	144112109	144112410	uc.69	19	3	0	0	0	0	0	0	21	0	0	0
chr2	144437338	144437575	uc.70	71	9	3	8	7	18	30	37	62	19	60	54
chr2	144712855	144713103	uc.71	81	55	73	76	48	28	58	52	85	49	42	46
chr2	144714971	144715378	uc.72	71	74	82	100	82	27	65	62	72	34	39	52
chr2	144762312	144762513	uc.73	53	57	85	72	57	25	27	48	74	42	24	21
chr2	144825962	144826500	uc.74	46	54	62	87	45	26	34	33	75	44	22	32
chr2	145145849	145146085	uc.75	385	425	689	576	851	312	499	373	516	307	533	628
chr2	145161132	145161467	uc.76	71	79	91	87	64	39	12	24	22	37	13	19
chr2	145185764	145186060	uc.77	37	50	75	86	42	20	8	16	14	27	5	8
chr2	145188353	145188601	uc.78	31	81	82	4	60	24	7	11	16	14	8	10
chr2	145197176	145197471	uc.79	31	74	77	2	52	24	7	11	15	14	8	9
chr2	145200851	145201145	uc.80	31	74	77	0	52	24	7	11	15	14	8	9
chr2	147134064	147134275	uc.81	0	0	0	0	0	0	0	0	0	0	0	0
chr2	156727098	156727308	uc.82	0	0	0	0	0	0	0	0	0	0	0	0
chr2	156991626	156991922	uc.83	0	0	0	0	0	0	0	0	0	0	0	0
chr2	157194705	157194914	uc.84	6	4	9	12	12	3	9	9	12	36	2	1
chr2	157551413	157551661	uc.85	0	0	0	0	0	0	0	0	0	0	0	0
chr2	157660109	157660449	uc.86	0	0	0	0	0	0	0	0	0	0	0	0
chr2	157900268	157900558	uc.87	0	0	0	0	0	0	0	0	0	0	0	0
chr2	162095041	162095353	uc.88	0	0	3	0	0	0	0	0	2	0	0	2
chr2	162238672	162238979	uc.89	298	161	205	181	164	180	267	0	0	330	359	0
chr2	162273026	162273232	uc.90	0	517	253	631	371	2	1	0	2	2	4	1
chr2	163045021	163045228	uc.91	39	2	2	5	1	0	31	16	10	9	11	27
chr2	164450678	164450987	uc.92	2	0	1	0	1	0	1	0	0	0	2	0
chr2	164661906	164662169	uc.93	0	0	0	0	0	0	0	2	0	0	0	0
chr2	164844169	164844369	uc.94	0	0	0	0	0	0	0	0	0	0	0	0
chr2	171571529	171571780	uc.95	12	5	1	0	6	0	4	13	17	4	6	19
chr2	172820673	172820934	uc.96	145	31	38	44	50	77	4	0	239	3	0	0
chr2	172822630	172823072	uc.97	271	136	167	139	148	169	385	331	631	508	416	338
chr2	172956517	172956755	uc.98	13	1	4	1	0	0	0	0	0	0	0	0
chr2	172958380	172958778	uc.99	1	0	0	1	0	0	1	0	0	0	0	0
chr2	174114779	174114986	uc.100	0	0	5	0	4	0	13	19	13	14	4	8
chr2	174774480	174774734	uc.101	453	370	307	377	308	173	526	456	560	630	262	407
chr2	174946408	174946746	uc.102	543	943	970	1160	1063	442	533	874	1174	795	771	670
chr2	174969671	174969904	uc.103	156	0	2	0	0	0	140	228	0	0	0	0
chr2	174986933	174987149	uc.104	156	0	0	353	0	106	140	0	327	0	0	2
chr2	174989786	174990009	uc.105	151	339	304	377	287	88	154	236	348	251	141	162
chr2	175025422	175025628	uc.106	193	284	278	337	243	131	150	278	402	307	167	195
chr2	175207607	175207844	uc.107	0	0	0	0	0	1	0	0	0	2	0	0
chr2	176940356	176940730	uc.108	0	0	0	0	0	0	0	0	1	0	0	0
chr2	177503337	177503561	uc.109	1	0	0	0	0	0	7	0	3	0	1	4
chr2	237071381	237071624	uc.110	18	0	1	0	0	2	32	6	27	19	99	15
chr20	4866439	4866647	uc.454	81	247	210	321	124	11	24	19	55	99	10	5
chr20	34328378	34328623	uc.455	393	284	275	360	276	187	454	447	462	998	243	258
chr20	42087755	42088075	uc.456	552	311	324	475	413	347	2041	960	1029	1875	433	420
chr22	19395908	19396119	uc.457	52	196	232	229	143	59	57	111	90	171	44	25
chr22	36148491	36148695	uc.458	9	31	108	45	77	37	47	16	44	26	20	25
chr3	9471460	9471756	uc.111	127	179	201	233	145	53	130	80	335	168	108	57
chr3	17592728	17593130	uc.483	0	0	0	0	12	0	0	0	0	10	0	0
chr3	18169563	18169909	uc.112	0	0	0	0	0	0	0	0	0	0	0	0
chr3	18676403	18676650	uc.113	0	2	0	0	0	0	0	0	2	0	0	0
chr3	18844449	18844743	uc.114	0	0	0	1	0	0	0	0	0	0	0	0
chr3	19034157	19034376	uc.115	0	0	0	0	0	0	0	0	0	0	0	0
chr3	70566423	70566629	uc.116	0	0	0	0	0	0	0	0	0	0	0	0
chr3	70871839	70872090	uc.117	0	0	0	0	0	0	0	0	0	0	0	0
chr3	70872091	70872310	uc.118	0	0	0	0	0	0	0	0	0	0	0	0
chr3	114433466	114433767	uc.119	0	0	0	0	2	2	0	0	0	2	0	2
chr3	114435038	114435308	uc.120	3	0	4	0	1	0	0	0	0	0	0	0
chr3	114575473	114575766	uc.121	0	0	0	0	0	0	0	0	0	0	0	0
chr3	114611890	114612105	uc.122	0	0	2	0	0	0	0	0	0	0	0	0
chr3	136983543	136984035	uc.123	0	0	0	0	0	0	0	0	0	0	0	0
chr3	137048443	137048730	uc.124	0	0	0	0	0	0	0	0	0	0	0	0
chr3	137068316	137068581	uc.125	0	0	0	0	0	0	0	0	0	0	0	0
chr3	137125647	137125918	uc.126	0	0	0	0	0	0	0	0	0	0	0	0
chr3	147030707	147030979	uc.127	0	0	0	0	0	0	0	0	0	0	0	0
chr3	147049637	147049936	uc.128	0	0	0	0	0	0	0	0	0	0	0	0
chr3	152164386	152164598	uc.129	41	92	60	94	37	10	11	8	19	53	7	4
chr3	157776573	157776797	uc.130	0	0	0	0	0	0	0	0	0	0	0	0
chr3	157990039	157990246	uc.131	120	57	0	73	41	42	58	85	84	85	40	48
chr3	158026158	158026366	uc.132	152	59	40	67	50	48	81	96	129	115	64	61
chr3	158026477	158026754	uc.133	152	59	40	67	50	48	81	96	129	117	64	62
chr3	158245903	158246114	uc.134	0	0	0	0	0	25	0	0	0	0	0	0
chr3	168834282	168834483	uc.135	21	7	17	22	14	8	20	19	21	19	5	6
chr3	169193951	169194298	uc.136	0	3	2	1	1	0	0	5	0	0	4	4
chr3	180436856	180437241	uc.137	0	0	0	0	0	0	0	0	0	0	0	0
chr3	185649295	185649714	uc.138	318	299	131	306	269	352	538	322	361	579	242	90
chr4	4523439	4523777	uc.139	59	47	44	66	63	37	58	67	82	54	45	38
chr4	13009869	13010092	uc.140	0	0	0	0	0	0	0	0	0	0	0	0
chr4	24529161	24529456	uc.141	866	474	565	564	771	562	1494	1581	2076	1568	1331	1702
chr4	41750068	41750327	uc.142	0	0	0	0	0	0	0	0	0	0	0	0
chr4	76579123	76579341	uc.143	191	1133	614	774	404	79	70	81	97	206	53	52
chr4	83346664	83346869	uc.144	955	1177	1292	1425	1622	1158	2855	3042	1836	3056	1560	1985
chr4	105346312	105346560	uc.145	0	0	0	0	0	0	0	0	0	0	0	0
chr4	111916475	111916689	uc.146	0	0	0	0	0	0	0	0	0	0	0	0
chr4	151236382	151236690	uc.147	36	32	20	34	19	11	37	25	43	75	13	18
chr4	151493951	151494191	uc.148	23	15	13	20	21	0	16	4	11	25	0	0
chr4	151494192	151494396	uc.149	23	15	13	20	21	0	9	4	12	23	0	0
