chrom	start	end	id	tcga_analysis/reindex/TCGA-06-0675-11A-32R-A36H-07.bam	tcga_analysis/reindex/TCGA-06-0678-11A-32R-A36H-07.bam	tcga_analysis/reindex/TCGA-06-0680-11A-32R-A36H-07.bam	tcga_analysis/reindex/TCGA-06-0681-11A-41R-A36H-07.bam	tcga_analysis/reindex/TCGA-06-AABW-11A-31R-A36H-07.bam
chr1	965820	975881	PLEKHN1___965820975881	25	9	12	11	5
chr1	974999	982117	PERM1___974999982117	22	8	7	23	4
chr1	990339	1001946	HES4___9903391001946	821	1297	1326	1570	572
chr1	998965	1015902	ISG15___9989651015902	4786	2845	3440	4152	2175
chr1	1007921	1014068	CHESS3___10079211014068	1430	606	895	986	510
chr1	1020102	1056119	AGRN___10201021056119	20865	12522	22336	17438	19461
chr1	1058485	1068601	LOC100288175___10584851068601	418	573	1103	712	268
chr1	1059659	1064250	RP11-54O7.18___10596591064250	182	227	484	302	89
chr1	1065427	1074307	RNF223___10654271074307	224	370	608	409	216
chr1	1066420	1069029	LOC105378948___10664201069029	45	73	131	49	76
chr1	1081811	1116356	C1orf159___10818111116356	2327	2282	2451	2546	2209
chr1	1116513	1118245	CHESS4___11165131118245	12	9	14	26	4
chr1	1127337	1128573	CHESS5___11273371128573	0	0	2	5	3
chr1	1137017	1144056	LINC01342___11370171144056	4	5	4	8	7
chr1	1159664	1170340	CHESS6___11596641170340	14	10	19	21	45
chr1	1173055	1179648	TTLL10-AS1___11730551179648	2	6	6	11	18
chr1	1173709	1201219	TTLL10___11737091201219	35	23	44	40	36
chr1	1203345	1208167	TNFRSF18___12033451208167	109	190	178	155	107
chr1	1211203	1216812	TNFRSF4___12112031216812	109	115	152	182	48
chr1	1216760	1232067	SDF4___12167601232067	7781	8749	9001	10250	11433
chr1	1232249	1235041	B3GALT6___12322491235041	3059	2452	3409	3388	2414
chr1	1242446	1247218	FAM132A___12424461247218	88	80	79	155	137
chr1	1249777	1251334	RP5-902P8.12___12497771251334	14	12	16	17	51
chr1	1253800	1273854	UBE2J2___12538001273854	4008	4515	4487	5154	4474
chr1	1274002	1279447	LOC101928895___12740021279447	274	158	503	445	353
chr1	1280415	1292029	SCNN1D___12804151292029	1079	880	1727	1879	1701
chr1	1292384	1307925	ACAP3___12923841307925	15253	13635	22137	22947	20685
chr1	1308135	1319734	PUSL1___13081351319734	6905	8170	8957	9620	11335
chr1	1311068	1324687	CPSF3L___13110681324687	7147	8232	9245	9675	11556
chr1	1324756	1328896	CPTP___13247561328896	3039	2205	3274	3661	3355
chr1	1331280	1335320	TAS1R3___13312801335320	99	101	122	108	87
chr1	1335197	1349142	DVL1___13351971349142	11861	12959	13475	13965	12352
chr1	1351254	1363541	MXRA8___13512541363541	4010	3087	6161	4812	1084
chr1	1373730	1375499	AURKAIP1___13737301375499	5882	6557	6561	8694	5955
chr1	1385711	1399338	CCNL2___13857111399338	6716	6823	9050	9144	11565
chr1	1399527	1402046	LOC148413___13995271402046	2121	2029	2459	2680	3596
chr1	1401896	1407313	MRPL20___14018961407313	5442	5628	5906	6994	6539
chr1	1409096	1410618	RP4-758J18.13___14090961410618	189	199	220	302	241
chr1	1411649	1416247	LOC107984868___14116491416247	79	81	154	142	480
chr1	1416984	1422561	ANKRD65___14169841422561	1864	1319	2418	3078	6415
chr1	1420166	1423769	LOC105378585___14201661423769	306	387	431	541	2322
chr1	1426128	1427787	TMEM88B___14261281427787	61	326	135	512	2346
chr1	1428141	1447244	VWA1___14281411447244	5432	17475	7664	16866	100138
chr1	1430157	1434573	LOC102724312___14301571434573	184	442	283	572	2522
chr1	1433233	1435626	LOC107985729___14332331435626	43	32	49	35	88
chr1	1448004	1470221	ATAD3C___14480041470221	192	342	253	383	366
chr1	1471732	1509467	ATAD3B___14717321509467	1066	1590	1836	2211	1601
chr1	1512143	1534689	ATAD3A___15121431534689	2253	2268	2274	2653	2367
chr1	1534778	1540360	TMEM240___15347781540360	1943	1363	2303	2780	636
chr1	1541673	1574882	SSU72___15416731574882	11379	10443	11832	12798	8114
chr1	1574975	1577075	RP5-832C2.5___15749751577075	229	232	205	215	183
chr1	1598008	1600096	C1orf233___15980081600096	2549	1378	2797	3095	973
chr1	1600314	1607383	LOC105378586___16003141607383	590	430	756	673	221
chr1	1615188	1630610	MIB2___16151881630610	6125	6796	8033	8985	6972
chr1	1631681	1634654	MMP23B___16316811634654	7	28	16	7	3
chr1	1635226	1659839	CDK11B___16352261659839	3086	3585	3437	3398	3346
chr1	1660957	1693000	SLC35E2B___16609571693000	10265	5971	8907	6707	6399
chr1	1692543	1699202	LOC107985731___16925431699202	124	101	249	127	34
chr1	1699939	1701808	MMP23A___16999391701808	20	18	23	15	14
chr1	1702383	1724837	CDK11A___17023831724837	897	1176	1152	1441	1498
chr1	1724838	1746271	SLC35E2___17248381746271	4175	4640	7129	5409	1853
chr1	1751232	1780514	NADK___17512321780514	3809	3645	3950	4109	3562
chr1	1785122	1891117	GNB1___17851221891117	87581	77716	95134	79063	47359
chr1	1891057	1897138	LOC105378949___18910571897138	136	78	186	151	62
chr1	1913751	1917296	CALML6___19137511917296	42	30	112	48	42
chr1	1917588	1919301	TMEM52___19175881919301	141	117	134	144	71
chr1	1921951	2003837	CFAP74___19219512003837	1615	1096	1487	1403	345
chr1	1955857	1958986	LOC107984872___19558571958986	103	54	73	50	23
chr1	2013065	2019186	LOC105378589___20130652019186	298	410	481	322	14
chr1	2019329	2030769	GABRD___20193292030769	13988	12291	14713	13892	1718
chr1	2033505	2047447	LOC105378590___20335052047447	21	13	19	15	7
chr1	2049201	2050070	LOC105378591___20492012050070	3	3	0	0	0
chr1	2050470	2185399	PRKCZ___20504702185399	25791	28853	27746	26689	17025
chr1	2141084	2145279	RP5-892K4.1___21410842145279	1812	1981	1848	1481	880
chr1	2181811	2184176	LOC100506504___21818112184176	253	1168	1131	1155	949
chr1	2184078	2212720	FAAP20___21840782212720	8548	10151	10572	12195	6855
chr1	2205359	2220493	LOC105378593___22053592220493	160	68	215	143	50
chr1	2207597	2215193	LOC105378592___22075972215193	112	38	126	92	36
chr1	2228033	2310213	SKI___22280332310213	12759	14454	13990	12705	9878
chr1	2314906	2324302	CHESS7___23149062324302	352	296	540	344	138
chr1	2321253	2391751	MORN1___23212532391751	2555	1829	3059	2494	922
chr1	2350414	2352661	LOC100129534___23504142352661	236	213	337	342	108
chr1	2363006	2367698	CHESS8___23630062367698	580	276	507	499	160
chr1	2385067	2405444	RER1___23850672405444	9808	10231	11075	12189	15508
chr1	2401373	2413797	PEX10___24013732413797	9719	9953	10370	12023	15301
chr1	2412481	2508587	PLCH2___24124812508587	7189	7269	8923	7883	8704
chr1	2445838	2447604	CHESS9___24458382447604	8	8	6	10	30
chr1	2493437	2494479	RP3-395M20.3___24934372494479	120	163	202	150	217
chr1	2508531	2526628	PANK4___25085312526628	3735	3473	4614	4301	2512
chr1	2528745	2530554	HES5___25287452530554	516	312	1041	958	107
chr1	2546266	2557020	LOC115110___25462662557020	517	280	669	654	143
chr1	2546465	2547460	RP3-395M20.12___25464652547460	254	67	356	355	34
chr1	2548971	2549779	CHESS10___25489712549779	9	0	6	7	0
chr1	2555767	2565622	TNFRSF14___25557672565622	1250	899	1510	1693	637
chr1	2566535	2584534	LOC100996583___25665352584534	72	44	77	73	31
chr1	2586460	2591469	FAM213B___25864602591469	9057	6025	9555	8551	3248
chr1	2588555	2633042	MMEL1___25885552633042	8076	5413	8426	7638	2923
chr1	2633111	2641043	LOC105378597___26331112641043	221	87	284	156	89
chr1	2636988	2789737	TTC34___26369882789737	250	119	348	158	101
chr1	2700540	2702756	LOC105378603___27005402702756	4	0	1	0	1
chr1	2701377	2702276	LOC105378602___27013772702276	2	0	1	0	1
chr1	2762488	2763387	LOC105378601___27624882763387	2	0	0	0	0
chr1	2763419	2784745	LOC105378598___27634192784745	15	12	29	8	5
chr1	2764564	2765629	LOC107985732___27645642765629	2	0	0	0	0
chr1	2766073	2766972	LOC105378600___27660732766972	2	0	0	0	0
chr1	2771826	2772891	LOC107984904___27718262772891	2	0	0	0	1
chr1	2773495	2774394	LOC105378599___27734952774394	2	0	0	0	1
chr1	2790048	2801693	CHESS11___27900482801693	42	6	38	22	7
chr1	2811850	2817767	RP11-740P5.2___28118502817767	2	0	0	1	2
chr1	2814059	2818157	CHESS12___28140592818157	2	0	0	0	2
chr1	3020593	3022911	ACTRT2___30205933022911	2	0	0	0	2
chr1	3055439	3069024	LINC00982___30554393069024	4302	3575	4847	4947	1206
chr1	3069025	3438621	PRDM16___30690253438621	2764	2666	3210	2316	1198
chr1	3132927	3133709	RP1-163G9.2___31329273133709	0	0	0	5	2
chr1	3159009	3167597	LOC105378606___31590093167597	20	31	29	16	8
chr1	3191945	3195519	LOC107984909___31919453195519	13	6	16	8	2
chr1	3197662	3214473	LOC105378605___31976623214473	73	56	163	117	34
chr1	3306636	3327974	LOC105378604___33066363327974	122	195	121	114	53
chr1	3366771	3373253	CHESS13___33667713373253	26	19	15	11	7
chr1	3454495	3482186	ARHGEF16___34544953482186	142	116	146	157	465
chr1	3487246	3487627	RP11-168F9.2___34872463487627	0	0	2	4	1
chr1	3487942	3624779	MEGF6___34879423624779	834	729	1251	936	651
chr1	3545955	3550776	LOC105378608___35459553550776	0	9	2	0	0
chr1	3598235	3602085	CHESS14___35982353602085	8	2	26	12	4
chr1	3602895	3607681	LOC105378607___36028953607681	2	2	5	2	1
chr1	3624992	3630164	TPRG1L___36249923630164	25156	21777	27289	23163	8587
chr1	3630552	3650107	WRAP73___36305523650107	1190	1279	1585	1771	2019
chr1	3652565	3740626	TP73___36525653740626	1257	1212	1572	1692	3453
chr1	3658430	3668772	LOC105378610___36584303668772	0	0	0	1	2
chr1	3674874	3677639	LOC105378609___36748743677639	2	0	1	0	0
chr1	3712200	3714298	RP5-1092A11.2___37122003714298	0	2	2	6	4
chr1	3735984	3747375	TP73-AS1___37359843747375	2098	1842	2505	2404	5084
chr1	3749224	3752336	CHESS15___37492243752336	0	2	0	3	1
chr1	3752398	3771645	CCDC27___37523983771645	64	55	76	51	67
chr1	3772655	3776242	SMIM1___37726553776242	22	22	35	41	130
chr1	3779856	3796504	LRRC47___37798563796504	9056	8733	10378	10915	9138
chr1	3810787	3888993	DFFB___38107873888993	4147	4355	4660	4573	7939
chr1	3812039	3857387	CEP104___38120393857387	3087	3648	3363	3304	6548
chr1	3885495	3888787	LOC107984910___38854953888787	76	9	134	15	20
chr1	3889125	3900293	C1orf174___38891253900293	1318	1678	1634	1500	1504
chr1	3900349	3920041	LINC01134___39003493920041	15	22	21	17	30
chr1	3940565	3952583	LINC01346___39405653952583	128	24	169	134	25
chr1	3944510	3949016	LOC105376672___39445103949016	27	10	24	25	4
chr1	3972916	4013343	LOC105376673___39729164013343	46	17	83	58	23
chr1	4017747	4018108	CHESS16___40177474018108	15	4	10	4	2
chr1	4412051	4424684	LOC284661___44120514424684	13	2	4	14	2
chr1	4432146	4443634	LOC105376674___44321464443634	15	13	0	0	0
chr1	4553352	4571350	CHESS17___45533524571350	1	0	0	0	4
chr1	4571481	4595011	LOC105376679___45714814595011	5	13	11	12	23
chr1	4603688	4617555	LOC107985376___46036884617555	11	33	15	13	6
chr1	4654609	4792518	AJAP1___46546094792518	11132	9165	13610	7993	4351
chr1	4729984	4736438	CHESS18___47299844736438	24	24	27	39	6
chr1	4964162	4973276	CHESS19___49641624973276	1	0	0	0	0
chr1	4973391	4983958	LOC105376680___49733914983958	0	0	2	0	0
chr1	4986550	5021415	LOC102724429___49865505021415	1	2	0	1	1
chr1	5090580	5098548	LOC105376681___50905805098548	0	0	1	0	0
chr1	5131856	5135311	LOC105376682___51318565135311	0	0	0	1	0
chr1	5470329	5481317	LOC107984911___54703295481317	7	5	5	4	4
chr1	5490842	5494629	LOC105376686___54908425494629	9	0	9	0	6
chr1	5768232	5771468	CHESS20___57682325771468	15	2	14	11	1
chr1	5850677	5992473	NPHP4___58506775992473	2803	2468	3612	3374	2215
chr1	5891972	5903913	CHESS21___58919725903913	49	55	67	53	22
chr1	5992298	6105423	KCNAB2___59922986105423	86240	76336	85999	83349	17614
chr1	6101347	6180311	CHD5___61013476180311	43935	46177	50229	40956	7404
chr1	6131763	6132692	LOC105376687___61317636132692	200	229	313	166	28
chr1	6185020	6200842	RPL22___61850206200842	12253	9975	12196	13611	11726
chr1	6200492	6209339	LOC107985733___62004926209339	457	219	685	516	69
chr1	6204840	6205780	LOC102724450___62048406205780	73	55	149	142	22
chr1	6205392	6221299	RNF207___62053926221299	1156	427	1886	1437	281
chr1	6221193	6235984	ICMT___62211936235984	7073	6781	7043	6799	6099
chr1	6236186	6241657	LINC00337___62361866241657	19	19	8	3	2
chr1	6244192	6245578	HES3___62441926245578	7	3	1	9	1
chr1	6247346	6260975	GPR153___62473466260975	3830	7835	5267	3341	613
chr1	6264227	6393766	ACOT7___62642276393766	22497	20397	26354	25797	10320
chr1	6413000	6424661	HES2___64130006424661	4	14	8	2	0
chr1	6424776	6470604	ESPN___64247766470604	6635	3801	8177	6936	1294
chr1	6460851	6466195	TNFRSF25___64608516466195	1181	735	2156	1900	249
chr1	6466092	6520061	PLEKHG5___64660926520061	9589	5231	10505	8153	1598
chr1	6521217	6554598	NOL9___65212176554598	3570	3668	3689	3751	2781
chr1	6555278	6579757	TAS1R1___65552786579757	44	28	51	55	39
chr1	6567548	6579433	LOC107984912___65675486579433	19	18	25	39	12
chr1	6578447	6603446	KLHL21___65784476603446	9121	11324	10577	10607	11294
chr1	6579967	6589368	ZBTB48___65799676589368	1823	1687	2265	2210	1806
chr1	6603255	6613374	LOC107984913___66032556613374	194	141	254	206	153
chr1	6613696	6624419	PHF13___66136966624419	2484	4054	2879	3260	3094
chr1	6624645	6635901	THAP3___66246456635901	4761	4535	5000	5792	4922
chr1	6634168	6701906	DNAJC11___66341686701906	8165	7627	8222	7875	6253
chr1	6724637	6730012	LOC100505887___67246376730012	11	1	10	1	1
chr1	6783900	6784741	CHESS22___67839006784741	27	30	34	44	36
chr1	6785324	7770241	CAMTA1___67853247770241	18884	14610	20353	16516	6999
chr1	7049769	7051940	LOC100129476___70497697051940	31	14	0	2	9
chr1	7235643	7240139	LOC105376692___72356437240139	37	2	0	21	0
chr1	7379041	7389942	LOC102725193___73790417389942	42	25	42	8	2
chr1	7437945	7447843	LOC101928836___74379457447843	6	38	2	0	14
chr1	7487171	7491247	CHESS23___74871717491247	32	0	1	15	2
chr1	7503370	7508625	LOC105376691___75033707508625	34	2	4	10	0
chr1	7613655	7621276	CHESS24___76136557621276	33	2	2	6	8
chr1	7693169	7704551	LOC105376689___76931697704551	259	205	390	368	1067
chr1	7771269	7781458	VAMP3___77712697781458	4973	6181	5611	6833	26849
chr1	7784285	7845468	PER3___77842857845468	6561	3112	8537	5057	7692
chr1	7800861	7827342	CHESS25___78008617827342	1725	815	2508	1114	1781
chr1	7846345	7913615	UTS2___78463457913615	18	16	7	15	14
chr1	7854895	7887063	CHESS26___78548957887063	10	8	5	5	6
chr1	7915871	7943165	TNFRSF9___79158717943165	14	11	10	8	6
chr1	7946565	7952890	CHESS27___79465657952890	1	0	2	1	2
chr1	7952891	7985282	PARK7___79528917985282	19088	17112	20758	21796	15380
chr1	7985921	8000843	CHESS28___79859218000843	11	17	14	19	21
chr1	8003039	8026806	ERRFI1___80030398026806	3404	4404	3590	3503	4402
chr1	8026493	8127110	LOC107984914___80264938127110	77	47	88	72	33
chr1	8129155	8148066	LOC107984915___81291558148066	1	6	5	3	2
chr1	8202429	8215210	LOC102724539___82024298215210	3	3	9	3	1
chr1	8240090	8248644	LOC105376695___82400908248644	1	3	3	2	3
chr1	8318085	8344167	SLC45A1___83180858344167	4035	3437	4315	3968	2078
chr1	8352292	8826226	RERE___83522928826226	22925	18769	25122	19705	13384
chr1	8402313	8408669	CHESS29___84023138408669	53	43	14	18	18
chr1	8424645	8435791	LOC102724552___84246458435791	99	83	131	85	71
chr1	8860551	8879092	ENO1___88605518879092	112331	114600	123773	118164	82653
chr1	8878835	8881071	ENO1-AS1___88788358881071	38	49	66	57	23
chr1	8912005	8912711	CHESS30___89120058912711	2	2	6	4	2
chr1	8945302	8975161	CA6___89453028975161	11	12	11	13	15
chr1	8992534	9026384	SLC2A7___89925349026384	6	6	8	6	8
chr1	9035019	9093407	SLC2A5___90350199093407	4597	1878	1882	1953	2092
chr1	9100305	9102986	LOC107984916___91003059102986	53	46	60	67	40
chr1	9103390	9129170	GPR157___91033909129170	45	33	58	33	22
chr1	9144051	9202633	MIR34AHG___91440519202633	201	240	353	250	192
chr1	9181518	9196284	LOC102724571___91815189196284	41	34	52	43	43
chr1	9234767	9271337	H6PD___92347679271337	3338	2711	3794	3384	7964
chr1	9292882	9369532	SPSB1___92928829369532	702	3376	937	1368	4942
chr1	9424547	9428996	LOC100506022___94245479428996	266	228	249	306	912
chr1	9490295	9505484	RP13-392I16.1___94902959505484	6	3	5	9	6
chr1	9539469	9585792	SLC25A33___95394699585792	2251	1633	3349	2699	1763
chr1	9588843	9614877	TMEM201___95888439614877	3119	3615	3470	3582	4508
chr1	9614641	9622295	LOC107985734___96146419622295	145	167	163	165	89
chr1	9628447	9629428	LOC105376712___96284479629428	0	0	0	2	0
chr1	9629889	9729114	PIK3CD___96298899729114	5227	3868	5715	5537	2162
chr1	9652610	9654586	PIK3CD-AS1___96526109654586	3	3	5	15	7
chr1	9672426	9687574	PIK3CD-AS2___96724269687574	25	19	39	36	17
chr1	9728374	9824526	CLSTN1___97283749824526	171282	162114	189133	156391	67182
chr1	9847976	9910355	CTNNBIP1___98479769910355	7131	8467	8738	6847	6288
chr1	9850773	9855490	LOC105376717___98507739855490	168	208	237	140	162
chr1	9922113	9995987	LZIC___99221139995987	4668	5289	5840	5429	10217
chr1	9942923	9996739	NMNAT1___99429239996739	1271	1250	1470	1310	2049
chr1	9997076	10024582	RBP7___999707610024582	146	371	215	368	2765
chr1	10032958	10181239	UBE4B___1003295810181239	8206	8580	10072	8761	12746
chr1	10210545	10382398	KIF1B___1021054510382398	70997	60243	78969	55490	71899
chr1	10357983	10366610	LOC105376725___1035798310366610	4658	3873	5171	2675	3529
chr1	10382101	10397576	CHESS31___1038210110397576	2889	2271	2832	2710	2001
chr1	10398992	10420614	PGD___1039899210420614	8361	9226	9147	8402	8765
chr1	10430102	10445492	APITD1___1043010210445492	1272	749	1443	1033	513
chr1	10430102	10452003	APITD1-CORT___1043010210452003	2391	1789	3146	2437	1166
chr1	10449719	10452003	CORT___1044971910452003	1115	1027	1706	1388	631
chr1	10456532	10472556	DFFA___1045653210472556	3971	4433	4740	4651	6679
chr1	10458555	10459338	RP5-1113E3.3___1045855510459338	330	411	428	395	715
chr1	10474946	10630762	PEX14___1047494610630762	4333	3740	4281	4590	3210
chr1	10636602	10796676	CASZ1___1063660210796676	292	262	310	242	127
chr1	10691949	10693864	CHESS32___1069194910693864	1	1	0	1	1
chr1	10809018	10815658	LOC105376733___1080901810815658	2	0	0	4	0
chr1	10913618	10918697	LOC105376735___1091361810918697	1	0	0	1	2
chr1	10946231	10982037	C1orf127___1094623110982037	20	13	35	18	21
chr1	11012344	11031132	TARDBP___1101234411031132	11404	15336	13942	13768	12916
chr1	11026523	11047239	MASP2___1102652311047239	1055	1205	1638	1507	1548
chr1	11049783	11060053	SRM___1104978311060053	5573	4986	6206	6993	4231
chr1	11066613	11099910	EXOSC10___1106661311099910	5109	5312	6556	6044	6540
chr1	11099675	11102105	LOC105376736___1109967511102105	165	159	190	165	159
chr1	11106244	11262551	MTOR___1110624411262551	12837	10780	15167	10826	7454
chr1	11143898	11149538	MTOR-AS1___1114389811149538	518	351	601	310	206
chr1	11189289	11195981	ANGPTL7___1118928911195981	96	54	89	61	47
chr1	11273198	11305720	UBIAD1___1127319811305720	1760	1680	2151	2137	4033
chr1	11306489	11317461	LOC105376737___1130648911317461	85	57	113	124	202
chr1	11357915	11365056	LOC105376739___1135791511365056	2	3	7	2	9
chr1	11371746	11377536	LOC105376740___1137174611377536	52	14	54	45	8
chr1	11479155	11537583	DISP3___1147915511537583	3225	3896	4099	2891	1552
chr1	11609531	11613355	LOC101929181___1160953111613355	8	4	4	3	6
chr1	11636948	11654831	FBXO2___1163694811654831	20024	17894	26009	22889	13000
chr1	11654375	11663327	FBXO44___1165437511663327	20283	18840	22562	23607	8480
chr1	11664093	11674354	FBXO6___1166409311674354	1137	1046	1034	1115	516
chr1	11674480	11691788	MAD2L2___1167448011691788	1555	1755	1795	2277	2683
chr1	11686635	11721766	DRAXIN___1168663511721766	689	448	967	508	99
chr1	11726250	11731832	CHESS33___1172625011731832	7	9	4	6	8
chr1	11736085	11750771	AGTRAP___1173608511750771	1023	994	913	1173	2537
chr1	11762188	11791552	C1orf167___1176218811791552	3670	2474	4737	3286	2693
chr1	11777077	11779619	LOC102724659___1177707711779619	3	3	3	4	1
chr1	11785714	11806103	MTHFR___1178571411806103	5450	3492	6875	4556	3530
chr1	11806096	11843318	CLCN6___1180609611843318	12758	9527	15272	10993	10123
chr1	11829337	11833514	CHESS34___1182933711833514	213	174	371	183	227
chr1	11840319	11848079	NPPA-AS1___1184031911848079	8056	6176	9409	8057	6881
chr1	11845709	11851835	NPPA___1184570911851835	416	297	463	569	74
chr1	11857442	11858945	NPPB___1185744211858945	9	6	4	9	5
chr1	11893729	11897490	CHESS35___1189372911897490	0	2	4	1	0
chr1	11919538	11926428	KIAA2013___1191953811926428	4266	4311	4186	5110	8896
chr1	11934667	11975637	PLOD1___1193466711975637	4493	4281	5264	6019	7992
chr1	11980181	12013523	MFN2___1198018112013523	24424	23244	27455	22941	16896
chr1	12014115	12032271	MIIP___1201411512032271	2183	1890	2210	2515	2620
chr1	12056048	12063236	CHESS36___1205604812063236	0	2	0	1	1
chr1	12063318	12144666	TNFRSF8___1206331812144666	47	335	46	44	71
chr1	12166948	12209386	TNFRSF1B___1216694812209386	2047	2269	1675	3033	1500
chr1	12214242	12227610	LOC107984917___1221424212227610	4	2	11	12	9
chr1	12230039	12512047	VPS13D___1223003912512047	17793	19899	21571	13822	12435
chr1	12525256	12528881	LOC105376744___1252525612528881	23	9	23	8	6
chr1	12563025	12618361	DHRS3___1256302512618361	3578	2143	2864	2213	2520
chr1	12607451	12615865	CHESS37___1260745112615865	14	9	75	21	62
chr1	12644547	12667086	AADACL4___1264454712667086	3	2	2	1	3
chr1	12716115	12741758	AADACL3___1271611512741758	2	4	1	0	0
chr1	12746186	12761169	C1orf158___1274618612761169	6	4	16	2	1
