CellLine,Sample,Value,SIG,MEAN,SE,Order,Order 2,,6615,6401,7100,6705.333333,0.986528137,0.954613243,1.05885862,,1,0.030837709
A172 MUT,miR-544-MFRP,1.031472812,,1.0260713,0.020171618,4,2,,,,,,,,,,,
A172 MUT,miR-544-MFRP,0.988746849,,1.0260713,0.020171618,4,2,,,,,,,,,,,
A172 MUT,miR-544-MFRP,1.057994238,,1.0260713,0.020171618,4,2,,,,,,,,,,,
U251 WT,miR-SCR-uc.110,0.926116578,,1,0.037941751,1,3,,,,,,,,,,,
U251 WT,miR-SCR-uc.110,1.021953066,,1,0.037941751,1,3,,,,,,,,,,,
U251 WT,miR-SCR-uc.110,1.051930356,,1,0.037941751,1,3,,,,,,,,,,,
U251 WT,miR-544-uc.110,0.8334595,*,0.7998486,0.045685071,2,3,,,,,,,,,,,
U251 WT,miR-544-uc.110,0.85662377,*,0.7998486,0.045685071,2,3,,,,,,,,,,,
U251 WT,miR-544-uc.110,0.709462528,*,0.7998486,0.045685071,2,3,,,,,,,,,,,
U251 WT,miR-SCR-MFRP,1.057547018,,1,0.047779122,3,3,,,,,,,,,,,
U251 WT,miR-SCR-MFRP,1.03729304,,1,0.047779122,3,3,,,,,,,,,,,
U251 WT,miR-SCR-MFRP,0.905159942,,1,0.047779122,3,3,,,,,,,,,,,
U251 WT,miR-544-MFRP,0.843915769,*,0.827519691,0.031704447,4,3,,,,,,,,,,,
U251 WT,miR-544-MFRP,0.766275518,*,0.827519691,0.031704447,4,3,,,,,,,,,,,
U251 WT,miR-544-MFRP,0.872367787,*,0.827519691,0.031704447,4,3,,,,,,,,,,,
U251 MUT,miR-SCR-uc.110,0.992248727,,1,0.035587526,1,4,,,,,,,,,,,
U251 MUT,miR-SCR-uc.110,1.065148423,,1,0.035587526,1,4,,,,,,,,,,,
U251 MUT,miR-SCR-uc.110,0.94260285,,1,0.035587526,1,4,,,,,,,,,,,
U251 MUT,miR-544-uc.110,0.981496407,,0.988613174,0.003558662,2,4,,,,,,,,,,,
U251 MUT,miR-544-uc.110,0.992248727,,0.988613174,0.003558662,2,4,,,,,,,,,,,
U251 MUT,miR-544-uc.110,0.992094387,,0.988613174,0.003558662,2,4,,,,,,,,,,,
U251 MUT,miR-SCR-MFRP,0.923990715,,1,0.048084241,3,4,,,,,,,,,,,
U251 MUT,miR-SCR-MFRP,0.986982841,,1,0.048084241,3,4,,,,,,,,,,,
U251 MUT,miR-SCR-MFRP,1.089026444,,1,0.048084241,3,4,,,,,,,,,,,
U251 MUT,miR-544-MFRP,0.999135224,,0.993976909,0.018938814,4,4,,,,,,,,,,,
U251 MUT,miR-544-MFRP,0.958900369,,0.993976909,0.018938814,4,4,,,,,,,,,,,
U251 MUT,miR-544-MFRP,1.023895134,,0.993976909,0.018938814,4,4,,,,,,,,,,,
